Team,No.,Drivers,Rounds
DAMS,1,Pierre Gasly,All
DAMS,2,Alex Lynn,All
Carlin,3,Julián Leal,1–8
Carlin,3,Dean Stoneman,9–11
Carlin,4,Marco Sørensen,1–4
Carlin,4,Johnny Cecotto Jr.,5
Carlin,4,Sean Gelael,"6–7, 9–11"
Carlin,4,Jann Mardenborough,8
ART Grand Prix,5,Stoffel Vandoorne,All
ART Grand Prix,6,Nobuharu Matsushita,All
Racing Engineering,7,Jordan King,All
Racing Engineering,8,Alexander Rossi,All
Russian Time,9,Mitch Evans,All
Russian Time,10,Artem Markelov,All
Trident,11,Raffaele Marciello,All
Trident,12,René Binder,1–6
Trident,12,Gustav Malja,7
Trident,12,Johnny Cecotto Jr.,8–9
Trident,12,Daniël de Jong,10–11
Campos Racing,14,Arthur Pic,All
Campos Racing,15,Rio Haryanto,All
MP Motorsport,16,Sergio Canamasas,1–3
MP Motorsport,16,Oliver Rowland,"5, 7"
MP Motorsport,16,Nicholas Latifi,"6, 9–11"
MP Motorsport,16,Meindert van Buuren,8
MP Motorsport,17,Daniël de Jong,1–7
MP Motorsport,17,René Binder,8–11
Rapax,18,Sergey Sirotkin,All
Rapax,19,Robert Vișoiu,1–9
Rapax,19,Gustav Malja,10–11
Arden International,20,André Negrão,All
Arden International,21,Norman Nato,All
Status Grand Prix,22,Marlon Stöckinger,All
Status Grand Prix,23,Richie Stanaway,1–9
Status Grand Prix,23,Oliver Rowland,10–11
Hilmer Motorsport,24,Nick Yelloly,2–7
Hilmer Motorsport,24,Simon Trummer,8
Hilmer Motorsport,25,Johnny Cecotto Jr.,2–3
Hilmer Motorsport,25,Simon Trummer,4
Hilmer Motorsport,25,Jon Lancaster,5
Hilmer Motorsport,25,Sergio Canamasas,6
Lazarus(1–3)Daiko Team Lazarus(4–11),26,Nathanaël Berthon,"1–7, 9–11"
Lazarus(1–3)Daiko Team Lazarus(4–11),26,Patric Niederhauser,8
Lazarus(1–3)Daiko Team Lazarus(4–11),27,Zoël Amberg,"1–4, 6"
