Pos.,No.,Driver,Team,Time,Grid
1,3,Logan Sargeant,Prema Racing,1:46.257,1
2,5,Liam Lawson,Hitech Grand Prix,1:46.315,2
3,1,Oscar Piastri,Prema Racing,1:46.383,3
4,4,Max Fewtrell,Hitech Grand Prix,1:46.730,4
5,2,Frederik Vesti,Prema Racing,1:46.785,5
6,29,Alex Peroni,Campos Racing,1:46.797,6
7,9,Sebastián Fernández,ART Grand Prix,1:46.896,7
8,15,Jake Hughes,HWA Racelab,1:46.910,8
9,10,Lirim Zendeli,Trident,1:46.941,9
10,8,Aleksandr Smolyar,ART Grand Prix,1:46.941,10
11,26,Clément Novalak,Carlin Buzz Racing,1:46.986,11
12,11,David Beckmann,Trident,1:47.002,12
13,7,Théo Pourchaire,ART Grand Prix,1:47.044,13
14,18,Bent Viscaal,MP Motorsport,1:47.148,14
15,17,Richard Verschoor,MP Motorsport,1:47.162,15
16,20,Calan Williams,Jenzer Motorsport,1:47.177,16
17,31,Sophia Flörsch,Campos Racing,1:47.344,17
18,12,Olli Caldwell,Trident,1:47.382,18
19,6,Dennis Hauger,Hitech Grand Prix,1:47.429,19
20,25,Ben Barnicoat,Carlin Buzz Racing,1:47.462,20
21,16,Jack Doohan,HWA Racelab,1:47.474,21
22,19,Lukas Dunner,MP Motorsport,1:47.504,22
23,23,Roman Staněk,Charouz Racing System,1:47.624,23
24,24,Igor Fraga,Charouz Racing System,1:47.656,24
25,14,Enzo Fittipaldi,HWA Racelab,1:47.667,25
26,22,Matteo Nannini,Jenzer Motorsport,1:47.717,26
27,25,David Schumacher,Charouz Racing System,1:47.731,27
28,28,Cameron Das,Carlin Buzz Racing,1:48.237,28
29,21,Federico Malvestiti,Jenzer Motorsport,1:48.289,29
30,30,Alessio Deledda,Campos Racing,1:48.384,30
