Pos.,No.,Driver,Team,Time,Grid
1,3,Logan Sargeant,Prema Racing,1:32.974,1
2,15,Jake Hughes,HWA Racelab,1:33.085,2
3,5,Liam Lawson,Hitech Grand Prix,1:33.117,3
4,1,Oscar Piastri,Prema Racing,1:33.171,4
5,9,Sebastián Fernández,ART Grand Prix,1:33.222,5
6,26,Clément Novalak,Carlin Buzz Racing,1:33.239,6
7,11,David Beckmann,Trident,1:33.319,7
8,7,Théo Pourchaire,ART Grand Prix,1:33.386,8
9,29,Alex Peroni,Campos Racing,1:33.407,9
10,10,Lirim Zendeli,Trident,1:33.412,13
11,17,Richard Verschoor,MP Motorsport,1:33.531,10
12,25,Leonardo Pulcini,Carlin Buzz Racing,1:33.588,17
13,22,Matteo Nannini,Jenzer Motorsport,1:33.602,11
14,8,Aleksandr Smolyar,ART Grand Prix,1:33.682,12
15,2,Frederik Vesti,Prema Racing,1:33.685,14
16,14,Enzo Fittipaldi,HWA Racelab,1:33.762,15
17,16,Jack Doohan,HWA Racelab,1:33.782,16
18,28,Cameron Das,Carlin Buzz Racing,1:33.826,18
19,23,Roman Staněk,Charouz Racing System,1:33.874,19
20,19,Lukas Dunner,MP Motorsport,1:33.892,20
21,12,Olli Caldwell,Trident,1:33.911,21
22,4,Max Fewtrell,Hitech Grand Prix,1:33.934,22
23,18,Bent Viscaal,MP Motorsport,1:33.937,23
24,6,Dennis Hauger,Hitech Grand Prix,1:33.976,24
25,20,Calan Williams,Jenzer Motorsport,1:34.004,25
26,25,David Schumacher,Charouz Racing System,1:34.025,26
27,21,Federico Malvestiti,Jenzer Motorsport,1:34.188,27
28,24,Igor Fraga,Charouz Racing System,1:34.273,28
29,31,Sophia Flörsch,Campos Racing,1:34.517,29
30,30,Alessio Deledda,Campos Racing,1:35.181,30
