Pos.,No.,Driver,Team,Time,Grid
1,7,Théo Pourchaire,ART Grand Prix,1:37.301,6
2,10,Lirim Zendeli,Trident,1:37.752,"12,"
3,8,Aleksandr Smolyar,ART Grand Prix,1:37.788,"11,"
4,5,Liam Lawson,Hitech Grand Prix,1:37.788,1
5,11,David Beckmann,Trident,1:37.809,10
6,2,Frederik Vesti,Prema Racing,1:38.015,9
7,22,Matteo Nannini,Jenzer Motorsport,1:38.036,2
8,15,Jake Hughes,HWA Racelab,1:38.051,3
9,20,Calan Williams,Jenzer Motorsport,1:38.064,4
10,3,Logan Sargeant,Prema Racing,1:38.095,5
11,9,Sebastián Fernández,ART Grand Prix,1:38.142,16
12,1,Oscar Piastri,Prema Racing,1:38.198,15
13,24,Igor Fraga,Charouz Racing System,1:38.215,7
14,29,Alex Peroni,Campos Racing,1:38.237,8
15,12,Olli Caldwell,Trident,1:38.343,20
16,23,Roman Staněk,Charouz Racing System,1:38.531,13
17,17,Richard Verschoor,MP Motorsport,1:38.583,14
18,14,Enzo Fittipaldi,HWA Racelab,1:38.684,17
19,16,Jack Doohan,HWA Racelab,1:38.690,18
20,25,Michael Belov,Charouz Racing System,1:38.723,19
21,18,Bent Viscaal,MP Motorsport,1:38.800,21
22,6,Dennis Hauger,Hitech Grand Prix,1:38.842,22
23,21,Federico Malvestiti,Jenzer Motorsport,1:38.865,23
24,26,Clément Novalak,Carlin Buzz Racing,1:38.897,24
25,31,Sophia Flörsch,Campos Racing,1:39.022,25
26,28,Cameron Das,Carlin Buzz Racing,1:39.077,26
27,4,Pierre-Louis Chovet,Hitech Grand Prix,1:39.173,30
28,30,Alessio Deledda,Campos Racing,1:39.448,27
29,19,Lukas Dunner,MP Motorsport,1:39.479,28
30,25,David Schumacher,Carlin Buzz Racing,1:39.494,29
