Pos.,No.,Driver,Team,Time,Grid
1,8,Aleksandr Smolyar,ART Grand Prix,1:51.348,1
2,3,Logan Sargeant,Prema Racing,1:51.606,2
3,7,Théo Pourchaire,ART Grand Prix,1:51.714,3
4,2,Frederik Vesti,Prema Racing,1:52.228,4
5,20,Calan Williams,Jenzer Motorsport,1:52.252,5
6,1,Oscar Piastri,Prema Racing,1:52.278,6
7,9,Sebastián Fernández,ART Grand Prix,1:52.288,7
8,17,Richard Verschoor,MP Motorsport,1:52.352,8
9,18,Bent Viscaal,MP Motorsport,1:52.460,9
10,6,Dennis Hauger,Hitech Grand Prix,1:52.471,10
11,5,Liam Lawson,Hitech Grand Prix,1:52.638,11
12,12,Oliver Caldwell,Trident,1:52.919,12
13,4,Max Fewtrell,Hitech Grand Prix,1:53.001,13
14,11,David Beckmann,Trident,1:53.101,14
15,29,Alex Peroni,Campos Racing,1:53.231,15
16,25,David Schumacher,Charouz Racing System,1:53.283,16
17,21,Federico Malvestiti,Jenzer Motorsport,1:53.296,17
18,24,Igor Fraga,Charouz Racing System,1:53.333,18
19,14,Enzo Fittipaldi,HWA Racelab,1:53.432,19
20,19,Lukas Dunner,MP Motorsport,1:53.479,20
21,15,Jake Hughes,HWA Racelab,1:53.501,21
22,16,Jack Doohan,HWA Racelab,1:53.648,22
23,27,Enaam Ahmed,Carlin Buzz Racing,1:53.751,23
24,31,Sophia Flörsch,Campos Racing,1:53.855,24
25,10,Lirim Zendeli,Trident,1:53.937,25
26,26,Clément Novalak,Carlin Buzz Racing,1:53.991,26
27,28,Cameron Das,Carlin Buzz Racing,1:54.000,27
28,23,Roman Staněk,Charouz Racing System,1:54.243,28
29,22,Matteo Nannini,Jenzer Motorsport,1:54.780,29
30,30,Alessio Deledda,Campos Racing,1:57.455,30
