Pos.,No.,Driver,Team,Time,Grid
1,3,Logan Sargeant,Prema Racing,1:45.063,1
2,5,Liam Lawson,Hitech Grand Prix,1:45.297,2
3,15,Jake Hughes,HWA Racelab,1:45.407,3
4,2,Frederik Vesti,Prema Racing,1:45.584,4
5,18,Bent Viscaal,MP Motorsport,1:45.597,5
6,7,Théo Pourchaire,ART Grand Prix,1:45.630,6
7,16,Jack Doohan,HWA Racelab,1:45.636,7
8,11,David Beckmann,Trident,1:45.678,8
9,25,Ben Barnicoat,Carlin Buzz Racing,1:45.765,9
10,10,Lirim Zendeli,Trident,1:45.859,10
11,1,Oscar Piastri,Prema Racing,1:45.877,11
12,26,Clément Novalak,Carlin Buzz Racing,1:45.893,12
13,14,Enzo Fittipaldi,HWA Racelab,1:45.953,13
14,22,Matteo Nannini,Jenzer Motorsport,1:45.972,14
15,28,Cameron Das,Carlin Buzz Racing,1:46.029,15
16,4,Max Fewtrell,Hitech Grand Prix,1:46.029,16
17,8,Aleksandr Smolyar,ART Grand Prix,1:46.035,17
18,29,Alex Peroni,Campos Racing,1:46.084,18
19,9,Sebastián Fernández,ART Grand Prix,1:46.197,19
20,20,Calan Williams,Jenzer Motorsport,1:46.221,20
21,21,Federico Malvestiti,Jenzer Motorsport,1:46.279,21
22,25,David Schumacher,Charouz Racing System,1:46.391,22
23,12,Olli Caldwell,Trident,1:46.429,23
24,6,Dennis Hauger,Hitech Grand Prix,1:46.559,24
25,23,Roman Staněk,Charouz Racing System,1:46.620,25
26,24,Igor Fraga,Charouz Racing System,1:46.687,26
27,17,Richard Verschoor,MP Motorsport,1:46.711,27
28,19,Lukas Dunner,MP Motorsport,1:47.138,28
29,31,Sophia Flörsch,Campos Racing,1:47.242,29
30,30,Alessio Deledda,Campos Racing,1:47.860,30
