Pos.,No.,Driver,Team,Time,Grid
1,10,Lirim Zendeli,Trident,2:05.393,1
2,7,Théo Pourchaire,ART Grand Prix,2:05.596,2
3,8,Aleksandr Smolyar,ART Grand Prix,2:05.807,3
4,3,Logan Sargeant,Prema Racing,2:06.079,4
5,11,David Beckmann,Trident,2:06.112,5
6,17,Richard Verschoor,MP Motorsport,2:06.144,6
7,5,Liam Lawson,Hitech Grand Prix,2:06.172,7
8,1,Oscar Piastri,Prema Racing,2:06.206,8
9,2,Frederik Vesti,Prema Racing,2:06.315,9
10,29,Alex Peroni,Campos Racing,2:06.413,10
11,12,Olli Caldwell,Trident,2:06.444,11
12,15,Jake Hughes,HWA Racelab,2:06.468,12
13,16,Jack Doohan,HWA Racelab,2:06.505,13
14,22,Matteo Nannini,Jenzer Motorsport,2:06.588,14
15,14,Enzo Fittipaldi,HWA Racelab,2:06.758,15
16,9,Sebastián Fernández,ART Grand Prix,2:06.867,16
17,21,Federico Malvestiti,Jenzer Motorsport,2:06.999,17
18,24,Igor Fraga,Charouz Racing System,2:07.245,18
19,19,Lukas Dunner,MP Motorsport,2:07.504,19
20,31,Andreas Estner,Campos Racing,2:07.510,20
21,20,Calan Williams,Jenzer Motorsport,2:07.530,21
22,25,David Schumacher,Carlin Buzz Racing,2:07.698,22
23,26,Clément Novalak,Carlin Buzz Racing,2:07.972,23
24,23,Roman Staněk,Charouz Racing System,2:08.358,24
25,28,Cameron Das,Carlin Buzz Racing,2:08.553,25
26,30,Alessio Deledda,Campos Racing,2:08.767,26
27,4,Pierre-Louis Chovet,Hitech Grand Prix,2:08.981,27
—,6,Dennis Hauger,Hitech Grand Prix,No time set,28
—,18,Bent Viscaal,MP Motorsport,No time set,29
—,25,Michael Belov,Charouz Racing System,No time set,30
