Pos.,No.,Driver,Team,Time,Grid
1,10,Lirim Zendeli,Trident,1:35.328,1
2,3,Logan Sargeant,Prema Racing,1:35.362,5
3,15,Jake Hughes,HWA Racelab,1:35.453,2
4,2,Frederik Vesti,Prema Racing,1:35.548,3
5,14,Enzo Fittipaldi,HWA Racelab,1:35.561,4
6,9,Sebastián Fernández,ART Grand Prix,1:35.594,6
7,7,Théo Pourchaire,ART Grand Prix,1:35.631,7
8,11,David Beckmann,Trident,1:35.646,8
9,6,Dennis Hauger,Hitech Grand Prix,1:35.682,12
10,8,Aleksandr Smolyar,ART Grand Prix,1:35.693,9
11,1,Oscar Piastri,Prema Racing,1:35.699,16
12,16,Jack Doohan,HWA Racelab,1:35.941,10
13,5,Liam Lawson,Hitech Grand Prix,1:35.999,11
14,17,Richard Verschoor,MP Motorsport,1:36.043,12
15,29,Alex Peroni,Campos Racing,1:36.094,13
16,22,Matteo Nannini,Jenzer Motorsport,1:36.135,15
17,27,David Schumacher,Carlin Buzz Racing,1:36.166,17
18,12,Olli Caldwell,Trident,1:36.176,18
19,18,Bent Viscaal,MP Motorsport,1:36.231,19
20,25,Michael Belov,Charouz Racing System,1:36.319,23
21,21,Federico Malvestiti,Jenzer Motorsport,1:36.364,20
22,19,Lukas Dunner,MP Motorsport,1:36.477,21
23,26,Clément Novalak,Carlin Buzz Racing,1:36.537,27
24,31,Sophia Flörsch,Campos Racing,1:36.606,22
25,20,Calan Williams,Jenzer Motorsport,1:36.853,24
26,23,Roman Staněk,Charouz Racing System,1:36.879,25
27,28,Cameron Das,Carlin Buzz Racing,1:37.571,26
28,30,Alessio Deledda,Campos Racing,1:37.575,28
