Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-RBPT,1:30.224,1:30.346,1:29.304,1
2,16,Charles Leclerc,Ferrari,1:30.402,1:30.486,1:29.314,2
3,55,Carlos Sainz Jr.,Ferrari,1:30.336,1:30.444,1:29.361,3
4,11,Sergio Pérez,Red Bull Racing-RBPT,1:30.622,1:29.925,1:29.709,4
5,31,Esteban Ocon,Alpine-Renault,1:30.696,1:30.357,1:30.165,5
6,44,Lewis Hamilton,Mercedes,1:30.906,1:30.443,1:30.261,6
7,14,Fernando Alonso,Alpine-Renault,1:30.603,1:30.343,1:30.322,7
8,63,George Russell,Mercedes,1:30.865,1:30.465,1:30.389,8
9,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:31.256,1:30.656,1:30.554,9
10,4,Lando Norris,McLaren-Mercedes,1:30.881,1:30.473,1:31.003,10
11,3,Daniel Ricciardo,McLaren-Mercedes,1:30.880,1:30.659,N/A,11
12,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:31.226,1:30.709,N/A,12
13,22,Yuki Tsunoda,AlphaTauri-RBPT,1:31.130,1:30.808,N/A,13
14,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:30.894,1:30.953,N/A,14
15,47,Mick Schumacher,Haas-Ferrari,1:31.152,1:31.439,N/A,15
16,23,Alexander Albon,Williams-Mercedes,1:31.311,N/A,N/A,16
17,10,Pierre Gasly,AlphaTauri-RBPT,1:31.322,N/A,N/A,PL
18,20,Kevin Magnussen,Haas-Ferrari,1:31.352,N/A,N/A,17
19,18,Lance Stroll,Aston MartinAramco-Mercedes,1:31.419,N/A,N/A,18
20,6,Nicholas Latifi,Williams-Mercedes,1:31.511,N/A,N/A,19
