Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-RBPT,1:44.581,1:44.723,1:43.665,14
2,55,Carlos Sainz Jr.,Ferrari,1:45.050,1:45.418,1:44.297,1
3,11,Sergio Pérez,Red Bull Racing-RBPT,1:45.377,1:44.794,1:44.462,2
4,16,Charles Leclerc,Ferrari,1:45.572,1:44.551,1:44.553,15
5,31,Esteban Ocon,Alpine-Renault,1:46.039,1:45.475,1:45.180,16
6,14,Fernando Alonso,Alpine-Renault,1:46.075,1:45.552,1:45.368,3
7,44,Lewis Hamilton,Mercedes,1:45.736,1:45.420,1:45.503,4
8,63,George Russell,Mercedes,1:45.650,1:45.461,1:45.776,5
9,23,Alexander Albon,Williams-Mercedes,1:45.672,1:45.675,1:45.837,6
10,4,Lando Norris,McLaren-Mercedes,1:45.745,1:45.603,1:46.178,17
11,3,Daniel Ricciardo,McLaren-Mercedes,1:46.212,1:45.767,N/A,7
12,10,Pierre Gasly,AlphaTauri-RBPT,1:46.183,1:45.827,N/A,8
13,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:46.178,1:46.085,N/A,18
14,18,Lance Stroll,Aston MartinAramco-Mercedes,1:46.256,1:46.611,N/A,9
15,47,Mick Schumacher,Haas-Ferrari,1:46.342,1:47.718,N/A,19
16,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:46.344,N/A,N/A,10
17,6,Nicholas Latifi,Williams-Mercedes,1:46.401,N/A,N/A,11
18,20,Kevin Magnussen,Haas-Ferrari,1:46.557,N/A,N/A,12
19,22,Yuki Tsunoda,AlphaTauri-RBPT,1:46.692,N/A,N/A,PL
20,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:47.866,N/A,N/A,13
