Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:21.280,1:21.208,1:20.161,1
2,1,Max Verstappen,Red Bull Racing-RBPT,1:20.922,1:21.265,1:20.306,7
3,55,Carlos Sainz Jr.,Ferrari,1:21.348,1:20.878,1:20.429,18
4,11,Sergio Pérez,Red Bull Racing-RBPT,1:21.495,1:21.358,1:21.206,13
5,44,Lewis Hamilton,Mercedes,1:22.048,1:21.708,1:21.524,19
6,63,George Russell,Mercedes,1:21.785,1:21.747,1:21.542,2
7,4,Lando Norris,McLaren-Mercedes,1:22.130,1:21.831,1:21.584,3
8,3,Daniel Ricciardo,McLaren-Mercedes,1:22.139,1:21.855,1:21.925,4
9,10,Pierre Gasly,AlphaTauri-RBPT,1:22.010,1:22.062,1:22.648,5
10,14,Fernando Alonso,Alpine-Renault,1:22.089,1:21.861,No time,6
11,31,Esteban Ocon,Alpine-Renault,1:22.166,1:22.130,N/A,14
12,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:22.254,1:22.235,N/A,15
13,45,Nyck de Vries,Williams-Mercedes,1:22.567,1:22.471,N/A,8
14,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:22.003,1:22.577,N/A,9
15,22,Yuki Tsunoda,AlphaTauri-RBPT,1:22.020,No time,N/A,20
16,6,Nicholas Latifi,Williams-Mercedes,1:22.587,N/A,N/A,10
17,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:22.636,N/A,N/A,11
18,18,Lance Stroll,Aston MartinAramco-Mercedes,1:22.748,N/A,N/A,12
19,20,Kevin Magnussen,Haas-Ferrari,1:22.908,N/A,N/A,16
20,47,Mick Schumacher,Haas-Ferrari,1:23.005,N/A,N/A,17
