Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,63,George Russell,Mercedes,1:18.407,1:18.154,1:17.377,1
2,55,Carlos Sainz Jr.,Ferrari,1:18.434,1:17.946,1:17.421,2
3,16,Charles Leclerc,Ferrari,1:18.806,1:17.768,1:17.567,3
4,4,Lando Norris,McLaren-Mercedes,1:18.653,1:18.121,1:17.769,4
5,31,Esteban Ocon,Alpine-Renault,1:18.866,1:18.216,1:18.018,5
6,14,Fernando Alonso,Alpine-Renault,1:18.716,1:17.904,1:18.078,6
7,44,Lewis Hamilton,Mercedes,1:18.374,1:18.035,1:18.142,7
8,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:18.935,1:18.445,1:18.157,8
9,3,Daniel Ricciardo,McLaren-Mercedes,1:18.775,1:18.198,1:18.379,9
10,1,Max Verstappen,Red Bull Racing-RBPT,1:18.509,1:17.703,1:18.823,10
11,11,Sergio Pérez,Red Bull Racing-RBPT,1:19.118,1:18.516,N/A,11
12,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:18.973,1:18.573,N/A,12
13,20,Kevin Magnussen,Haas-Ferrari,1:18.993,1:18.825,N/A,13
14,18,Lance Stroll,Aston MartinAramco-Mercedes,1:19.205,1:19.137,N/A,14
15,47,Mick Schumacher,Haas-Ferrari,1:19.164,1:19.202,N/A,15
16,22,Yuki Tsunoda,AlphaTauri-RBPT,1:19.240,N/A,N/A,16
17,23,Alexander Albon,Williams-Mercedes,1:19.256,N/A,N/A,17
18,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:19.273,N/A,N/A,18
19,10,Pierre Gasly,AlphaTauri-RBPT,1:19.527,N/A,N/A,PL
20,6,Nicholas Latifi,Williams-Mercedes,1:19.570,N/A,N/A,19
