Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-RBPT,1:24.754,1:24.622,1:23.824,1
2,11,Sergio Pérez,Red Bull Racing-RBPT,1:24.820,1:24.419,1:24.052,2
3,16,Charles Leclerc,Ferrari,1:25.211,1:24.517,1:24.092,3
4,55,Carlos Sainz Jr.,Ferrari,1:25.090,1:24.521,1:24.242,4
5,44,Lewis Hamilton,Mercedes,1:25.594,1:24.774,1:24.508,5
6,63,George Russell,Mercedes,1:25.545,1:24.940,1:24.511,6
7,4,Lando Norris,McLaren-Mercedes,1:25.387,1:24.903,1:24.769,7
8,31,Esteban Ocon,Alpine-Renault,1:25.735,1:25.007,1:24.830,8
9,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:25.523,1:24.974,1:24.961,9
10,3,Daniel Ricciardo,McLaren-Mercedes,1:25.766,1:25.068,1:25.045,13
11,14,Fernando Alonso,Alpine-Renault,1:25.782,1:25.096,N/A,10
12,22,Yuki Tsunoda,AlphaTauri-RBPT,1:25.630,1:25.219,N/A,11
13,47,Mick Schumacher,Haas-Ferrari,1:25.711,1:25.225,N/A,12
14,18,Lance Stroll,Aston MartinAramco-Mercedes,1:25.741,1:25.359,N/A,14
15,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:25.594,1:25.408,N/A,15
16,20,Kevin Magnussen,Haas-Ferrari,1:25.834,N/A,N/A,16
17,10,Pierre Gasly,AlphaTauri-RBPT,1:25.859,N/A,N/A,17
18,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:25.892,N/A,N/A,18
19,23,Alexander Albon,Williams-Mercedes,1:26.028,N/A,N/A,19
20,6,Nicholas Latifi,Williams-Mercedes,1:26.054,N/A,N/A,20
