Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-RBPT,1:19.222,1:18.566,1:17.775,1
2,63,George Russell,Mercedes,1:19.583,1:18.565,1:18.079,2
3,44,Lewis Hamilton,Mercedes,1:19.169,1:18.552,1:18.084,3
4,11,Sergio Pérez,Red Bull Racing-RBPT,1:19.706,1:18.615,1:18.128,4
5,55,Carlos Sainz Jr.,Ferrari,1:19.566,1:18.560,1:18.351,5
6,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:19.523,1:18.762,1:18.401,6
7,16,Charles Leclerc,Ferrari,1:19.505,1:19.109,1:18.555,7
8,4,Lando Norris,McLaren-Mercedes,1:19.857,1:19.119,1:18.721,8
9,14,Fernando Alonso,Alpine-Renault,1:20.006,1:19.272,1:18.939,9
10,31,Esteban Ocon,Alpine-Renault,1:19.945,1:19.081,1:19.010,10
11,3,Daniel Ricciardo,McLaren-Mercedes,1:20.279,1:19.325,N/A,11
12,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:20.283,1:19.476,N/A,12
13,22,Yuki Tsunoda,AlphaTauri-RBPT,1:19.907,1:19.589,N/A,13
14,10,Pierre Gasly,AlphaTauri-RBPT,1:20.256,1:19.672,N/A,14
15,20,Kevin Magnussen,Haas-Ferrari,1:20.293,1:19.833,N/A,19
16,47,Mick Schumacher,Haas-Ferrari,1:20.419,N/A,N/A,15
17,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:20.419,N/A,N/A,16
18,18,Lance Stroll,Aston MartinAramco-Mercedes,1:20.520,N/A,N/A,20
19,23,Alexander Albon,Williams-Mercedes,1:20.859,N/A,N/A,17
20,6,Nicholas Latifi,Williams-Mercedes,1:21.167,N/A,N/A,18
