Pos.,No.,Driver,Team,Time/Gap,Grid
1,3,Christian Lundgaard,ART Grand Prix,1:31.761,1
2,21,Jüri Vips,Hitech Grand Prix,+0.125,2
3,2,Max Fewtrell,ART Grand Prix,+0.136,3
4,28,Robert Shwartzman,Prema Racing,+0.142,4
5,19,Niko Kari,Trident,+0.213,5
6,18,Pedro Piquet,Trident,+0.226,6
7,11,Jake Hughes,HWA Racelab,+0.276,7
8,1,David Beckmann,ART Grand Prix,+0.316,8
9,14,Yuki Tsunoda,Jenzer Motorsport,+0.436,9
10,30,Felipe Drugovich,Carlin Buzz Racing,+0.595,10
11,20,Leonardo Pulcini,Hitech Grand Prix,+0.614,11
12,25,Sebastián Fernández,Campos Racing,+0.615,12
13,26,Marcus Armstrong,Prema Racing,+0.624,13
14,23,Alex Peroni,Campos Racing,+0.641,14
15,9,Raoul Hyman,Sauber Junior Team by Charouz,+0.725,15
16,6,Richard Verschoor,MP Motorsport,+0.804,16
17,27,Jehan Daruvala,Prema Racing,+0.832,17
18,22,Ye Yifei,Hitech Grand Prix,+0.860,18
19,31,Logan Sargeant,Carlin Buzz Racing,+0.931,19
20,4,Liam Lawson,MP Motorsport,+0.934,20
21,29,Teppei Natori,Carlin Buzz Racing,+0.966,21
22,8,Fabio Scherer,Sauber Junior Team by Charouz,+1.112,22
23,5,Simo Laaksonen,MP Motorsport,+1.184,23
24,7,Lirim Zendeli,Sauber Junior Team by Charouz,+1.226,24
25,17,Devlin DeFrancesco,Trident,+1.286,25
26,10,Bent Viscaal,HWA Racelab,+1.303,26
27,12,Keyvan Andres,HWA Racelab,+1.332,27
28,15,Giorgio Carrara,Jenzer Motorsport,+1.611,28
29,16,Andreas Estner,Jenzer Motorsport,+1.708,29
30,24,Alessio Deledda,Campos Racing,+3.255,30
