Pos.,No.,Driver,Team,Time/Gap,Grid
1,21,Jüri Vips,Hitech Grand Prix,1:43.902,1
2,26,Marcus Armstrong,Prema Racing,+0.096,2
3,27,Jehan Daruvala,Prema Racing,+0.112,3
4,3,Christian Lundgaard,ART Grand Prix,+0.171,4
5,20,Leonardo Pulcini,Hitech Grand Prix,+0.237,5
6,28,Robert Shwartzman,Prema Racing,+0.316,6
7,4,Liam Lawson,MP Motorsport,+0.458,7
8,18,Pedro Piquet,Trident,+0.501,8
9,8,Fabio Scherer,Sauber Junior Team by Charouz,+0.531,9
10,22,Ye Yifei,Hitech Grand Prix,+0.559,10
11,11,Jake Hughes,HWA Racelab,+0.560,11
12,19,Niko Kari,Trident,+0.574,12
13,1,David Beckmann,ART Grand Prix,+0.679,13
14,2,Max Fewtrell,ART Grand Prix,+0.682,14
15,9,Raoul Hyman,Sauber Junior Team by Charouz,+0.745,15
16,31,Logan Sargeant,Carlin Buzz Racing,+0.844,16
17,7,Lirim Zendeli,Sauber Junior Team by Charouz,+0.854,17
18,6,Richard Verschoor,MP Motorsport,+1.065,18
19,25,Sebastián Fernández,Campos Racing,+1.082,19
20,30,Felipe Drugovich,Carlin Buzz Racing,+1.118,20
21,23,Alex Peroni,Campos Racing,+1.186,21
22,17,Devlin DeFrancesco,Trident,+1.207,22
23,12,Keyvan Andres,HWA Racelab,+1.208,23
24,5,Simo Laaksonen,MP Motorsport,+1.240,24
25,10,Bent Viscaal,HWA Racelab,+1.327,25
26,14,Yuki Tsunoda,Jenzer Motorsport,+1.399,26
27,16,Andreas Estner,Jenzer Motorsport,+1.533,27
28,29,Teppei Natori,Carlin Buzz Racing,+1.688,28
29,15,Federico Malvestiti,Jenzer Motorsport,+2.201,29
30,24,Alessio Deledda,Campos Racing,+3.166,30
