Pos.,No.,Driver,Team,Time/Gap,Grid
1,27,Jehan Daruvala,Prema Racing,2:05.125,1
2,18,Pedro Piquet,Trident,+0.231,2
3,14,Yuki Tsunoda,Jenzer Motorsport,+0.415,3
4,28,Robert Shwartzman,Prema Racing,+0.480,4
5,11,Jake Hughes,HWA Racelab,+0.489,5
6,21,Jüri Vips,Hitech Grand Prix,+0.500,6
7,17,Devlin DeFrancesco,Trident,+0.515,7
8,20,Leonardo Pulcini,Hitech Grand Prix,+0.576,8
9,31,Logan Sargeant,Carlin Buzz Racing,+0.584,9
10,4,Liam Lawson,MP Motorsport,+0.935,10
11,23,Alex Peroni,Campos Racing,+1.062,11
12,2,Max Fewtrell,ART Grand Prix,+1.082,12
13,6,Richard Verschoor,MP Motorsport,+1.130,13
14,3,Christian Lundgaard,ART Grand Prix,+1.145,14
15,22,Ye Yifei,Hitech Grand Prix,+1.149,15
16,10,Bent Viscaal,HWA Racelab,+1.164,16
17,1,David Beckmann,ART Grand Prix,+1.208,17
18,15,Giorgio Carrara,Jenzer Motorsport,+1.271,18
19,26,Marcus Armstrong,Prema Racing,+1.275,19
20,29,Teppei Natori,Carlin Buzz Racing,+1.295,20
21,19,Niko Kari,Trident,+1.350,21
22,12,Keyvan Andres,HWA Racelab,+1.412,22
23,30,Felipe Drugovich,Carlin Buzz Racing,+1.481,23
24,9,Raoul Hyman,Sauber Junior Team by Charouz,+1.489,24
25,25,Sebastián Fernández,Campos Racing,+2.126,25
26,16,Andreas Estner,Jenzer Motorsport,+2.350,26
27,5,Simo Laaksonen,MP Motorsport,+2.378,27
28,8,Fabio Scherer,Sauber Junior Team by Charouz,+2.889,28
29,7,Lirim Zendeli,Sauber Junior Team by Charouz,+2.951,30
30,24,Alessio Deledda,Campos Racing,+3.773,29
