Pos,No,Driver,Team,Time,Grid
1,28,Daniel Juncadella,Tech 1 Racing,2:17.433,6
2,16,António Félix da Costa,Carlin,2:18.399,8
3,19,Mirko Bortolotti,Addax Team,2:18.456,12
4,2,Esteban Gutiérrez,ART Grand Prix,2:18.829,27
5,23,Pål Varhaug,Jenzer Motorsport,2:19.300,23
6,8,Rio Haryanto,Manor Racing,2:19.301,22
7,27,Stefano Coletti,Tech 1 Racing,2:19.421,3
8,4,Robert Wickens,Status Grand Prix,2:19.944,1
9,9,Adrian Quaife-Hobbs,Manor Racing,2:20.463,2
10,10,Nigel Melker,RSC Mücke Motorsport,2:20.684,28
11,7,Adrien Tambay,Manor Racing,2:20.694,21
12,6,Daniel Morad,Status Grand Prix,2:20.873,4
13,14,Josef Newgarden,Carlin,2:20.983,5
14,24,Simon Trummer,Jenzer Motorsport,2:20.983,16
15,30,Oliver Oakes,ATECHCRS GP,2:21.136,15
16,1,Alexander Rossi,ART Grand Prix,2:21.243,19
17,12,Tobias Hegewald,RSC Mücke Motorsport,2:21.284,7
18,20,Michael Christensen,MW Arden,2:21.310,9
19,11,Renger van der Zande,RSC Mücke Motorsport,2:21.803,10
20,29,Roberto Merhi,ATECHCRS GP,2:21.899,11
21,31,Vittorio Ghirelli,ATECHCRS GP,2:22.006,20
22,26,Doru Sechelariu,Tech 1 Racing,2:22.559,25
23,3,Pedro Nunes,ART Grand Prix,2:22.650,29
24,17,Felipe Guimarães,Addax Team,2:23.074,13
25,25,Nico Müller,Jenzer Motorsport,2:23.315,14
26,21,Miki Monrás,MW Arden,2:25.241,26
27,22,Leonardo Cordeiro,MW Arden,2:25.386,17
28,5,Ivan Lukashevich,Status Grand Prix,2:26.146,18
29,18,Pablo Sánchez López,Addax Team,2:27.639,24
30,15,Dean Smith,Carlin,2:40.128,30
