Pos,No,Name,Team,Time,Grid
1,7,James Jakes,Manor Racing,1:46.559,2
2,4,Robert Wickens,Status Grand Prix,1:46.954,3
3,14,Josef Newgarden,Carlin,1:47.176,1
4,29,Roberto Merhi,ATECHCRS GP,1:47.286,4
5,9,Adrian Quaife-Hobbs,Manor Racing,1:47.334,6
6,20,Michael Christensen,MW Arden,1:47.422,6
7,28,Daniel Juncadella,Tech 1 Racing,1:47.593,9
8,11,Renger van der Zande,RSC Mücke Motorsport,1:47.639,5
9,8,Rio Haryanto,Manor Racing,1:47.641,8
10,2,Esteban Gutiérrez,ART Grand Prix,1:47.649,10
11,10,Nigel Melker,RSC Mücke Motorsport,1:47.800,13
12,24,Simon Trummer,Jenzer Motorsport,1:47.920,12
13,25,Nico Müller,Jenzer Motorsport,1:47.927,11
14,27,Stefano Coletti,Tech 1 Racing,1:48.058,14
15,19,Mirko Bortolotti,Addax Team,1:48.062,16
16,15,Dean Smith,Carlin,1:48.078,15
17,12,Tobias Hegewald,RSC Mücke Motorsport,1:48.199,18
18,23,Pål Varhaug,Jenzer Motorsport,1:48.245,21
19,1,Alexander Rossi,ART Grand Prix,1:48.316,19
20,21,Miki Monrás,MW Arden,1:48.459,17
21,22,Leonardo Cordeiro,MW Arden,1:48.595,23
22,26,Doru Sechelariu,Tech 1 Racing,1:48.866,22
23,6,Daniel Morad,Status Grand Prix,1:48.903,24
24,17,Felipe Guimarães,Addax Team,1.48.918,27
25,3,Pedro Nunes,ART Grand Prix,1:48.965,28
26,18,Pablo Sánchez López,Addax Team,1:49.058,20
27,16,Lucas Foresti,Carlin,1:49.186,25
28,30,Oliver Oakes,ATECHCRS GP,1:49.246,30
29,5,Ivan Lukashevich,Status Grand Prix,1:49.667,29
30,31,Vittorio Ghirelli,ATECHCRS GP,1:49.906,26
