Pos.,No.,Driver,Team,Time,Grid
1,10,Nigel Melker,RSC Mücke Motorsport,1:52.602,1
2,23,Pål Varhaug,Jenzer Motorsport,1:52.931,2
3,4,Robert Wickens,Status Grand Prix,1:52.974,3
4,6,Daniel Morad,Status Grand Prix,1:53.311,4
5,7,James Jakes,Manor Racing,1:53.440,5
6,15,Dean Smith,Carlin,1:53.600,6
7,2,Esteban Gutiérrez,ART Grand Prix,1:53.603,7
8,28,Jean-Éric Vergne,Tech 1 Racing,1:53.765,8
9,11,Renger van der Zande,RSC Mücke Motorsport,1:53.914,9
10,24,Simon Trummer,Jenzer Motorsport,1:53.983,10
11,17,Felipe Guimarães,Addax Team,1:54.159,11
12,14,Josef Newgarden,Carlin,1:54.329,12
13,8,Rio Haryanto,Manor Racing,1:54.331,13
14,16,Lucas Foresti,Carlin,1:54.477,14
15,27,Daniel Juncadella,Tech 1 Racing,1:54.495,15
16,20,Michael Christensen,MW Arden,1:54.658,16
17,21,Miki Monrás,MW Arden,1:54.666,17
18,3,Pedro Nunes,ART Grand Prix,1:54.686,18
19,18,Pablo Sánchez López,Addax Team,1:54.691,19
20,25,Nico Müller,Jenzer Motorsport,1:54.726,20
21,22,Leonardo Cordeiro,MW Arden,1:54.758,21
22,30,Oliver Oakes,ATECHCRS GP,1:54.817,22
23,26,Doru Sechelariu,Tech 1 Racing,1:55.069,23
24,29,Patrick Reiterer,ATECHCRS GP,1:55.394,24
25,12,Tobias Hegewald,RSC Mücke Motorsport,1:55.643,25
26,5,Ivan Lukashevich,Status Grand Prix,1:55.927,26
27,9,Adrian Quaife-Hobbs,Manor Racing,1:57.082,27
28,1,Alexander Rossi,ART Grand Prix,2:00.622,28
29,31,Vittorio Ghirelli,ATECHCRS GP,2:01.311,29
30,19,Mirko Bortolotti,Addax Team,No time,30
