Pos.,No.,Driver,Team,Time,Grid
1,25,Nico Müller,Jenzer Motorsport,1:36.991,1
2,2,Esteban Gutiérrez,ART Grand Prix,1:36.991,2
3,27,Stefano Coletti,Tech 1 Racing,1:37.036,3
4,4,Robert Wickens,Status Grand Prix,1:37.066,4
5,15,Dean Smith,Carlin,1:37.320,6
6,26,Doru Sechelariu,Tech 1 Racing,1:37.370,19
7,6,Daniel Morad,Status Grand Prix,1:37.454,5
8,12,Tobias Hegewald,RSC Mücke Motorsport,1:37.456,18
9,16,António Félix da Costa,Carlin,1:37.459,7
10,19,Mirko Bortolotti,Addax Team,1:37.525,8
11,17,Felipe Guimarães,Addax Team,1:37.632,9
12,9,Adrian Quaife-Hobbs,Manor Racing,1:37.639,10
13,1,Alexander Rossi,ART Grand Prix,1:37.690,11
14,24,Marco Barba,Jenzer Motorsport,1:37.694,12
15,10,Nigel Melker,RSC Mücke Motorsport,1:37.733,22
16,11,Renger van der Zande,RSC Mücke Motorsport,1:37.777,13
17,14,Josef Newgarden,Carlin,1:37.785,14
18,23,Pål Varhaug,Jenzer Motorsport,1:37.802,15
19,20,Michael Christensen,MW Arden,1:37.869,16
20,29,Roberto Merhi,ATECHCRS GP,1:37.952,17
21,21,Miki Monrás,MW Arden,1:37.982,21
22,18,Pablo Sánchez López,Addax Team,1:38.196,20
23,30,Oliver Oakes,ATECHCRS GP,1:38.342,23
24,7,Adrien Tambay,Manor Racing,1:38.359,25
25,22,Leonardo Cordeiro,MW Arden,1:38.375,27
26,3,Pedro Nunes,ART Grand Prix,1:38.406,24
27,5,Ivan Lukashevich,Status Grand Prix,1:38.448,28
28,8,Rio Haryanto,Manor Racing,1:38.909,26
29,31,Vittorio Ghirelli,ATECHCRS GP,1.39.041,29
