Pos.,No.,Driver,Team,Time,Grid
1,2,Esteban Gutiérrez,ART Grand Prix,1:43.425,1
2,11,Renger van der Zande,RSC Mücke Motorsport,1:43.713,2
3,25,Nico Müller,Jenzer Motorsport,1:43.788,3
4,12,Tobias Hegewald,RSC Mücke Motorsport,1:43.891,4
5,4,Robert Wickens,Status Grand Prix,1:43.940,5
6,29,Roberto Merhi,ATECHCRS GP,1:43.971,6
7,14,Josef Newgarden,Carlin,1:43.980,7
8,10,Nigel Melker,RSC Mücke Motorsport,1:44.040,8
9,6,Daniel Morad,Status Grand Prix,1:44.097,9
10,8,Rio Haryanto,Manor Racing,1:44.109,10
11,7,James Jakes,Manor Racing,1:44.170,11
12,17,Felipe Guimarães,Addax Team,1:44.225,12
13,24,Simon Trummer,Jenzer Motorsport,1:44.370,13
14,3,Pedro Nunes,ART Grand Prix,1:44.422,14
15,30,Oliver Oakes,ATECHCRS GP,1:44.460,15
16,26,Doru Sechelariu,Tech 1 Racing,1:44.462,16
17,19,Mirko Bortolotti,Addax Team,1:44.540,17
18,16,Lucas Foresti,Carlin,1:44.548,18
19,18,Pablo Sánchez López,Addax Team,1:44.560,19
20,9,Adrian Quaife-Hobbs,Manor Racing,1:44.609,20
21,23,Pål Varhaug,Jenzer Motorsport,1:44.728,21
22,22,Leonardo Cordeiro,MW Arden,1:44.736,22
23,28,Daniel Juncadella,Tech 1 Racing,1:44.810,23
24,21,Miki Monrás,MW Arden,1:44.898,24
25,20,Michael Christensen,MW Arden,1:44.902,25
26,15,Dean Smith,Carlin,1:45.098,26
27,31,Vittorio Ghirelli,ATECHCRS GP,1:45.184,27
28,1,Alexander Rossi,ART Grand Prix,1:45.353,28
29,27,Stefano Coletti,Tech 1 Racing,1:45.378,29
30,5,Ivan Lukashevich,Status Grand Prix,1:45.991,30
