Pos,No,Driver,Team,Time,Grid
1,2,Esteban Gutiérrez,ART Grand Prix,1:51.451,1
2,8,Rio Haryanto,Manor Racing,1:52.040,2
3,25,Nico Müller,Jenzer Motorsport,1:52.089,3
4,9,Adrian Quaife-Hobbs,Manor Racing,1:52.112,4
5,12,Tobias Hegewald,RSC Mücke Motorsport,1:52.152,5
6,1,Alexander Rossi,ART Grand Prix,1:52.188,6
7,6,Daniel Morad,Status Grand Prix,1:52.306,7
8,4,Robert Wickens,Status Grand Prix,1:52.312,18
9,7,James Jakes,Manor Racing,1:52.316,8
10,15,Dean Smith,Carlin,1:52.511,9
11,11,Renger van der Zande,RSC Mücke Motorsport,1:52.565,10
12,19,Mirko Bortolotti,Addax Team,1:52.580,11
13,28,Daniel Juncadella,Tech 1 Racing,1:52.581,12
14,20,Michael Christensen,{MW Arden,1:52.614,13
15,27,Stefano Coletti,Tech 1 Racing,1:52.625,14
16,30,Oliver Oakes,ATECHCRS GP,1:52.636,15
17,24,Simon Trummer,Jenzer Motorsport,1:52.643,16
18,23,Pål Varhaug,Jenzer Motorsport,1:52.643,17
19,26,Doru Sechelariu,Tech 1 Racing,1:52.692,19
20,14,Josef Newgarden,Carlin,1:52.802,20
21,18,Pablo Sánchez López,Addax Team,1:52.814,21
22,17,Felipe Guimarães,Addax Team,1:52.904,22
23,10,Nigel Melker,RSC Mücke Motorsport,1:52.906,23
24,29,Roberto Merhi,ATECHCRS GP,1:53.072,24
25,21,Miki Monrás,MW Arden,1:53.197,25
26,16,Lucas Foresti,Carlin,1:53.256,26
27,31,Vittorio Ghirelli,ATECHCRS GP,1:53.456,27
28,3,Pedro Nunes,ART Grand Prix,1:53.590,28
29,22,Leonardo Cordeiro,MW Arden,1:53.697,29
30,5,Ivan Lukashevich,Status Grand Prix,1:54.044,30
