Pos.,No.,Driver,Team,Time,Grid
1,2,Oscar Piastri,Prema Racing,1:40.878,1
2,1,Robert Shwartzman,Prema Racing,1:41.043,2
3,10,Théo Pourchaire,ART Grand Prix,1:41.218,3
4,9,Christian Lundgaard,ART Grand Prix,1:41.297,4
5,4,Felipe Drugovich,UNI-Virtuosi Racing,1:41.302,5
6,3,Guanyu Zhou,UNI-Virtuosi Racing,1:41.350,6
7,21,Ralph Boschung,Campos Racing,1:41.532,7
8,8,Jüri Vips,Hitech Grand Prix,1:41.610,8
9,17,Marcus Armstrong,DAMS,1:41.618,9
10,7,Liam Lawson,Hitech Grand Prix,1:41.619,10
11,6,Jehan Daruvala,Carlin,1:41.861,11
12,12,Clément Novalak,MP Motorsport,1:41.890,12
13,5,Dan Ticktum,Carlin,1:41.960,13
14,24,Bent Viscaal,Trident,1:41.972,14
15,16,Roy Nissany,DAMS,1:42.076,15
16,11,Jack Doohan,MP Motorsport,1:42.114,16
17,25,Marino Sato,Trident,1:42.466,17
18,14,Enzo Fittipaldi,Charouz Racing System,1:42.870,18
19,20,Olli Caldwell,Campos Racing,1:42.919,19
20,15,Guilherme Samaia,Charouz Racing System,1:43.422,20
21,22,Logan Sargeant,HWA Racelab,1:43.481,21
—,23,Alessio Deledda,HWA Racelab,No time set,22
