Pos.,No.,Driver,Team,Time,Grid
1,2,Oscar Piastri,Prema Racing,1:32.199,1
2,6,Jehan Daruvala,Carlin,1:32.240,2
3,3,Guanyu Zhou,UNI-Virtuosi,1:32.256,3
4,7,Liam Lawson,Hitech Grand Prix,1:32.383,4
5,4,Felipe Drugovich,UNI-Virtuosi,1:32.409,5
6,21,Ralph Boschung,Campos Racing,1:32.553,6
7,10,Théo Pourchaire,ART Grand Prix,1:32.586,7
8,5,Dan Ticktum,Carlin,1:32.641,8
9,8,Jüri Vips,Hitech Grand Prix,1:32.675,9
10,20,David Beckmann,Campos Racing,1:32.699,10
11,12,Lirim Zendeli,MP Motorsport,1:32.885,11
12,1,Robert Shwartzman,Prema Racing,1:32.942,12
13,14,Enzo Fittipaldi,Charouz Racing System,1:32.965,13
14,25,Marino Sato,Trident,1:33.023,14
15,16,Roy Nissany,DAMS,1:33.031,15
16,22,Jake Hughes,HWA Racelab,1:33.043,16
17,17,Marcus Armstrong,DAMS,1:33.054,17
18,24,Bent Viscaal,Trident,1:33.080,18
19,9,Christian Lundgaard,ART Grand Prix,1:33.155,19
20,11,Richard Verschoor,MP Motorsport,1:33.193,20
21,15,Guilherme Samaia,Charouz Racing System,1:33.478,21
22,23,Alessio Deledda,HWA Racelab,1:34.194,22
