Pos.,No.,Driver,Team,Time,Grid
1,10,Théo Pourchaire,ART Grand Prix,1:20.985,1
2,1,Robert Shwartzman,Prema Racing,1:21.403,2
3,2,Oscar Piastri,Prema Racing,1:21.443,3
4,5,Dan Ticktum,Carlin,1:21.589,4
5,8,Jüri Vips,Hitech Grand Prix,1:21.523,5
6,21,Ralph Boschung,Campos Racing,1:21.854,6
7,16,Roy Nissany,DAMS,1:22.102,7
8,9,Christian Lundgaard,ART Grand Prix,1:21.877,8
9,4,Felipe Drugovich,UNI-Virtuosi,1:22.131,9
10,3,Guanyu Zhou,UNI-Virtuosi,1:21.912,10
11,6,Jehan Daruvala,Carlin,1:22.244,11
12,7,Liam Lawson,Hitech Grand Prix,1:21.941,12
13,14,David Beckmann,Charouz Racing System,1:22.585,13
14,17,Marcus Armstrong,DAMS,1:22.168,14
15,24,Bent Viscaal,Trident,1:22.827,15
16,11,Richard Verschoor,MP Motorsport,1:22.758,16
17,12,Lirim Zendeli,MP Motorsport,1:22.933,17
18,25,Marino Sato,Trident,1:24.091,18
19,20,Gianluca Petecof,Campos Racing,1:23.344,19
20,15,Guilherme Samaia,Charouz Racing System,1:24.302,20
21,22,Jack Aitken,HWA Racelab,1:23.353,21
22,23,Alessio Deledda,HWA Racelab,1:27.744,22
