Pos.,No.,Driver,Team,Time,Grid
1,2,Oscar Piastri,Prema Racing,1:47.465,1
2,6,Jehan Daruvala,Carlin,1:47.653,2
3,10,Théo Pourchaire,ART Grand Prix,1:47.891,3
4,3,Guanyu Zhou,UNI-Virtuosi Racing,1:47.994,4
5,21,Ralph Boschung,Campos Racing,1:48.024,5
6,22,Jake Hughes,HWA Racelab,1:48.073,6
7,1,Robert Shwartzman,Prema Racing,1:48.098,7
8,7,Liam Lawson,Hitech Grand Prix,1:48.129,8
9,8,Jüri Vips,Hitech Grand Prix,1:48.139,9
10,5,Dan Ticktum,Carlin,1:48.171,10
11,17,Marcus Armstrong,DAMS,1:48.190,11
12,9,Christian Lundgaard,ART Grand Prix,1:48.255,12
13,4,Felipe Drugovich,UNI-Virtuosi Racing,1:48.286,13
14,20,David Beckmann,Campos Racing,1:48.428,14
15,11,Richard Verschoor,MP Motorsport,1:48.587,15
16,24,Bent Viscaal,Trident,1:48.662,16
17,12,Lirim Zendeli,MP Motorsport,1:48.785,17
18,16,Roy Nissany,DAMS,1:48.989,18
19,15,Guilherme Samaia,Charouz Racing System,1:49.226,19
20,25,Marino Sato,Trident,1:49.339,20
21,14,Enzo Fittipaldi,Charouz Racing System,1:49.465,21
22,23,Alessio Deledda,HWA Racelab,1:50.389,22
