Pos.,No.,Driver,Team,Time,Grid
1,3,Guanyu Zhou,UNI-Virtuosi Racing,1:42.848,1
2,9,Christian Lundgaard,ART Grand Prix,1:42.851,2
3,4,Felipe Drugovich,UNI-Virtuosi Racing,1:43.211,3
4,5,Dan Ticktum,Carlin,1:43.338,4
5,11,Richard Verschoor,MP Motorsport,1:43.443,5
6,6,Jehan Daruvala,Carlin,1:43.475,6
7,2,Oscar Piastri,Prema Racing,1:43.478,7
8,7,Liam Lawson,Hitech Grand Prix,1:43.519,8
9,14,David Beckmann,Charouz Racing System,1:43.559,9
10,10,Théo Pourchaire,ART Grand Prix,1:43.585,10
11,1,Robert Shwartzman,Prema Racing,1:43.694,11
12,21,Ralph Boschung,Campos Racing,1:43.704,12
13,17,Marcus Armstrong,DAMS,1:43.729,13
14,16,Roy Nissany,DAMS,1:43.768,14
15,24,Bent Viscaal,Trident,1:43.839,15
16,12,Lirim Zendeli,MP Motorsport,1:43.955,16
17,15,Guilherme Samaia,Charouz Racing System,1:44.227,17
18,25,Marino Sato,Trident,1:44.654,18
19,22,Matteo Nannini,HWA Racelab,1:44.825,19
20,20,Gianluca Petecof,Campos Racing,1:45.053,20
21,23,Alessio Deledda,HWA Racelab,1:46.712,21
DSQ,8,Jüri Vips,Hitech Grand Prix,1:43.442,22
