Pos.,No.,Driver,Team,Time,Grid
1,7,Liam Lawson,Hitech Grand Prix,1:54.217,1
2,8,Jüri Vips,Hitech Grand Prix,1:54.355,2
3,2,Oscar Piastri,Prema Racing,1:54.508,3
4,10,Théo Pourchaire,ART Grand Prix,1:54.639,4
5,5,Dan Ticktum,Carlin,1:54.830,5
6,17,Marcus Armstrong,DAMS,1:54.914,6
7,21,Ralph Boschung,Campos Racing,1:54.962,7
8,3,Guanyu Zhou,UNI-Virtuosi,1:55.112,8
9,6,Jehan Daruvala,Carlin,1:55.122,9
10,1,Robert Shwartzman,Prema Racing,1:55.161,10
11,4,Felipe Drugovich,UNI-Virtuosi,1:55.173,11
12,9,Christian Lundgaard,ART Grand Prix,1:55.245,12
13,14,David Beckmann,Charouz Racing System,1:55.336,13
14,22,Jack Aitken,HWA Racelab,1:55.651,14
15,24,Bent Viscaal,Trident,1:55.658,15
16,11,Richard Verschoor,MP Motorsport,1:55.988,16
17,20,Matteo Nannini,Campos Racing,1:56.463,17
18,12,Lirim Zendeli,MP Motorsport,1:56.579,18
19,25,Marino Sato,Trident,1:57.539,19
20,15,Guilherme Samaia,Charouz Racing System,1:57.793,20
21,23,Alessio Deledda,HWA Racelab,1:58.264,21
—,16,Roy Nissany,DAMS,No time set,22
