Team,No.,Driver,Rounds
Russian Time,1,Artem Markelov,All
Russian Time,2,Tadasuke Makino,All
Pertamina Prema Theodore Racing(1–7)Pertamina Prema Racing(8–12),3,Sean Gelael,All
Pertamina Prema Theodore Racing(1–7)Pertamina Prema Racing(8–12),4,Nyck de Vries,All
DAMS,5,Alexander Albon,All
DAMS,6,Nicholas Latifi,All
ART Grand Prix,7,Jack Aitken,All
ART Grand Prix,8,George Russell,All
MP Motorsport,9,Roberto Merhi,1–8
MP Motorsport,9,Dorian Boccolacci,9–12
MP Motorsport,10,Ralph Boschung,1–10
MP Motorsport,10,Niko Kari,11–12
BWT Arden,11,Maximilian Günther,1–11
BWT Arden,11,Dan Ticktum,12
BWT Arden,12,Nirei Fukuzumi,All
Campos Vexatec Racing,14,Luca Ghiotto,All
Campos Vexatec Racing,15,Roy Nissany,1–10
Campos Vexatec Racing,15,Roberto Merhi,11–12
Trident,16,Arjun Maini,All
Trident,17,Santino Ferrucci,1–7
Trident,17,Alessio Lorandi,8–12
Carlin,18,Sérgio Sette Câmara,All
Carlin,19,Lando Norris,All
Charouz Racing System,20,Louis Delétraz,All
Charouz Racing System,21,Antonio Fuoco,All
