Pos.,No.,Driver,Team,Time,Grid
1,2,Nirei Fukuzumi,ART Grand Prix,1:30.678,1
2,1,Jack Aitken,ART Grand Prix,1:30.847,2
3,3,George Russell,ART Grand Prix,1:30.889,3
4,14,Dan Ticktum,DAMS,1:31.031,4
5,4,Anthoine Hubert,ART Grand Prix,1:31.140,5
6,22,Alessio Lorandi,Jenzer Motorsport,1:31.334,6
7,12,Dorian Boccolacci,Trident,1:31.389,7
8,5,Niko Kari,Arden International,1:31.404,8
9,15,Tatiana Calderon,DAMS,1:31.478,9
10,7,Steijn Schothorst,Arden International,1:31.507,10
11,10,Giuliano Alesi,Trident,1:31.593,11
12,9,Kevin Jörg,Trident,1:31.661,12
13,11,Ryan Tveter,Trident,1:31.689,13
14,26,Julien Falchero,Campos Racing,1:31.707,14
15,28,Marcos Siebert,Campos Racing,1:31.707,15
16,6,Leonardo Pulcini,Arden International,1:31.726,16
17,27,Raoul Hyman,Campos Racing,1:31.984,17
18,23,Juan Manuel Correa,Jenzer Motorsport,1:32.019,18
19,24,Arjun Maini,Jenzer Motorsport,1:32.139,19
20,16,Bruno Baptista,DAMS,1:32.161,20
