Pos.,No.,Driver,Team,Time,Grid
1,2,Nirei Fukuzumi,ART Grand Prix,1:38.594,1
2,3,George Russell,ART Grand Prix,1:38.693,2
3,4,Anthoine Hubert,ART Grand Prix,1:38.776,3
4,1,Jack Aitken,ART Grand Prix,1:38.786,4
5,12,Dorian Boccolacci,Trident,1:38.933,5
6,7,Steijn Schothorst,Arden International,1:38.963,6
7,6,Leonardo Pulcini,Arden International,1:38.971,7
8,24,Arjun Maini,Jenzer Motorsport,1:39.033,8
9,22,Alessio Lorandi,Jenzer Motorsport,1:39.148,9
10,14,Dan Ticktum,DAMS,1:39.232,10
11,28,Marcos Siebert,Campos Racing,1:39.298,11
12,23,Juan Manuel Correa,Jenzer Motorsport,1:39.470,12
13,10,Giuliano Alesi,Trident,1:39.518,13
14,5,Niko Kari,Arden International,1:39.565,14
15,27,Raoul Hyman,Campos Racing,1:39.776,15
16,16,Bruno Baptista,DAMS,1:39.860,16
17,11,Ryan Tveter,Trident,1:39.923,17
18,26,Julien Falchero,Campos Racing,1:39.968,18
19,15,Tatiana Calderon,DAMS,1:40.411,19
20,9,Kevin Jörg,Trident,1:41.112,20
