Pos.,No.,Driver,Team,Time,Grid
1,3,George Russell,ART Grand Prix,1:19.114,1
2,1,Jack Aitken,ART Grand Prix,1:19.186,2
3,12,Dorian Boccolacci,Trident,1:19.255,3
4,6,Leonardo Pulcini,Arden International,1:19.258,4
5,7,Steijn Schothorst,Arden International,1:19.292,5
6,10,Giuliano Alesi,Trident,1:19.412,6
7,11,Ryan Tveter,Trident,1:19.425,7
8,4,Anthoine Hubert,ART Grand Prix,1:19.440,8
9,5,Niko Kari,Arden International,1:19.479,9
10,2,Nirei Fukuzumi,ART Grand Prix,1:19.484,10
11,22,Alessio Lorandi,Jenzer Motorsport,1:19.493,11
12,24,Arjun Maini,Jenzer Motorsport,1:19.530,12
13,27,Raoul Hyman,Campos Racing,1:19.561,13
14,26,Julien Falchero,Campos Racing,1:19.596,14
15,9,Kevin Jörg,Trident,1:19.680,15
16,16,Bruno Baptista,DAMS,1:19.778,16
17,14,Santino Ferrucci,DAMS,1:19.789,17
18,28,Marcos Siebert,Campos Racing,1:19.832,18
19,15,Tatiana Calderon,DAMS,1:19.872,19
