Pos.,No.,Driver,Team,Time,Grid
1,1,Jack Aitken,ART Grand Prix,1:31.754,1
2,3,George Russell,ART Grand Prix,1:31.936,2
3,2,Nirei Fukuzumi,ART Grand Prix,1:32.009,3
4,12,Dorian Boccolacci,Trident,1:32.307,4
5,4,Anthoine Hubert,ART Grand Prix,1:32.308,5
6,10,Giuliano Alesi,Trident,1:32.435,6
7,5,Niko Kari,Arden International,1:32.438,7
8,9,Kevin Jörg,Trident,1:32.647,8
9,22,Alessio Lorandi,Jenzer Motorsport,1:32.701,9
10,15,Tatiana Calderon,DAMS,1:32.738,10
11,11,Ryan Tveter,Trident,1:32.795,11
12,7,Steijn Schothorst,Arden International,1:32.800,12
13,24,Arjun Maini,Jenzer Motorsport,1:32.880,13
14,28,Marcos Siebert,Campos Racing,1:32.956,14
15,27,Raoul Hyman,Campos Racing,1:33.090,15
16,26,Julien Falchero,Campos Racing,1:33.269,16
17,16,Bruno Baptista,DAMS,1:33.274,17
18,6,Leonardo Pulcini,Arden International,1:33.427,18
19,14,Matthieu Vaxivière,DAMS,1:33.615,19
