Pos.,No.,Driver,Team,Time,Grid
1,1,Jack Aitken,ART Grand Prix,1:34.187,1
2,2,Nirei Fukuzumi,ART Grand Prix,1:34.358,2
3,12,Dorian Boccolacci,Trident,1:34.380,3
4,3,George Russell,ART Grand Prix,1:34.468,4
5,6,Leonardo Pulcini,Arden International,1:34.602,5
6,24,Arjun Maini,Jenzer Motorsport,1:34.685,6
7,10,Giuliano Alesi,Trident,1:34.708,10
8,22,Alessio Lorandi,Jenzer Motorsport,1:34.720,7
9,28,Marcos Siebert,Campos Racing,1:34.788,8
10,4,Anthoine Hubert,ART Grand Prix,1:34.866,9
11,5,Niko Kari,Arden International,1:34.964,PL
12,27,Raoul Hyman,Campos Racing,1:35.031,11
13,7,Steijn Schothorst,Arden International,1:35.041,12
14,14,Santino Ferrucci,DAMS,1:35.070,13
15,26,Julien Falchero,Campos Racing,1:35.088,14
16,11,Ryan Tveter,Trident,1:35.224,15
17,9,Kevin Jörg,Trident,1:35.423,16
18,15,Tatiana Calderon,DAMS,1:35.613,17
19,16,Bruno Baptista,DAMS,1:35.851,18
