Pos.,No.,Driver,Team,Time,Grid
1,3,George Russell,ART Grand Prix,2:27.042,1
2,2,Nirei Fukuzumi,ART Grand Prix,2:27.316,2
3,24,Arjun Maini,Jenzer Motorsport,2:27.741,3
4,1,Jack Aitken,ART Grand Prix,2:28.039,4
5,14,Matthieu Vaxivière,DAMS,2:28.474,5
6,12,Dorian Boccolacci,Trident,2:28.593,6
7,11,Ryan Tveter,Trident,2:28.814,7
8,7,Steijn Schothorst,Arden International,2:28.857,8
9,26,Julien Falchero,Campos Racing,2:29.110,9
10,15,Tatiana Calderon,DAMS,2:29.118,10
11,22,Alessio Lorandi,Jenzer Motorsport,2:29.267,11
12,10,Giuliano Alesi,Trident,2:29.270,12
13,9,Kevin Jörg,Trident,2:29.461,13
14,28,Marcos Siebert,Campos Racing,2:29.546,14
15,6,Leonardo Pulcini,Arden International,2:29.744,15
16,5,Niko Kari,Arden International,2:29.766,16
17,4,Anthoine Hubert,ART Grand Prix,2:29.882,17
18,27,Raoul Hyman,Campos Racing,2:29.925,18
19,16,Bruno Baptista,DAMS,2:29.981,19
20,23,Juan Manuel Correa,Jenzer Motorsport,2:30.587,20
