Pos.,No.,Driver,Team,Time,Grid
1,2,Facu Regalia,ART Grand Prix,1:44.170,1
2,14,Tio Ellinas,Marussia Manor Racing,1:44.224,2
3,12,Alex Fontana,Jenzer Motorsport,1:44.482,3
4,3,Jack Harvey,ART Grand Prix,1:44.566,4
5,20,Lewis Williamson,Bamboo Engineering,1:44.602,5
6,8,Nick Yelloly,Carlin,1:44.619,6
7,18,Alexander Sims,Status Grand Prix,1:44.670,7
8,6,Daniil Kvyat,MW Arden,1:44.675,8
9,28,Kevin Korjus,Koiranen GP,1:44.685,9
10,4,Carlos Sainz Jr.,MW Arden,1:44.686,10
11,5,Robert Vișoiu,MW Arden,1:44.881,11
12,9,Eric Lichtenstein,Carlin,1:44.945,15
13,21,Melville McKee,Bamboo Engineering,1:44.958,12
14,1,Conor Daly,ART Grand Prix,1:45.015,13
15,11,Patric Niederhauser,Jenzer Motorsport,1:45.073,14
16,16,Dino Zamparelli,Marussia Manor Racing,1:45.151,16
17,27,Aaro Vainio,Koiranen GP,1:45.204,17
18,23,Giovanni Venturini,Trident,1:45.260,18
19,17,Jimmy Eriksson,Status Grand Prix,1:45.385,19
20,7,Luís Sá Silva,Carlin,1:45.441,20
21,24,David Fumanelli,Trident,1:45.469,21
22,26,Patrick Kujala,Koiranen GP,1:45.515,22
23,25,Emanuele Zonzini,Trident,1:46.191,23
24,19,Josh Webster,Status Grand Prix,1:46.675,24
25,10,Samin Gómez,Jenzer Motorsport,1:46.808,25
26,15,Ryan Cullen,Marussia Manor Racing,1:47.644,26
27,22,Carmen Jordá,Bamboo Engineering,1:49.033,27
