Pos.,No.,Driver,Team,Time,Grid
1,28,Kevin Korjus,Koiranen GP,1:34.193,10
2,14,Tio Ellinas,MarussiaManor Racing,1:34.233,1
3,11,Patric Niederhauser,Jenzer Motorsport,1:34.444,2
4,12,Alex Fontana,Jenzer Motorsport,1:34.581,13
5,4,Carlos Sainz Jr.,MWArden,1:34.635,15
6,1,Conor Daly,ART Grand Prix,1:34.810,3
7,6,Daniil Kvyat,MWArden,1:34.989,7
8,8,Nick Yelloly,Carlin,1:35.111,4
9,27,Aaro Vainio,Koiranen GP,1:35.183,5
10,2,Facu Regalia,ART Grand Prix,1:35.206,6
11,3,Jack Harvey,ART Grand Prix,1:35.250,8
12,16,Dino Zamparelli,MarussiaManor Racing,1:35.334,9
13,25,David Fumanelli,Trident,1:35.376,11
14,5,Robert Vișoiu,MWArden,1:35.408,12
15,17,Jimmy Eriksson,Status Grand Prix,1:35.458,14
16,23,Giovanni Venturini,Trident,1:35.533,16
17,20,Lewis Williamson,Bamboo Engineering,1:35.725,17
18,9,Eric Lichtenstein,Carlin,1:35.884,18
19,26,Patrick Kujala,Koiranen GP,1:36.031,27
20,18,Adderly Fong,Status Grand Prix,1:36.131,19
21,7,Luís Sá Silva,Carlin,1:36.271,20
22,21,Melville McKee,Bamboo Engineering,1:36.464,21
23,25,Emanuele Zonzini,Trident,1:36.489,22
24,10,Samin Gómez,Jenzer Motorsport,1:36.543,23
25,15,Ryan Cullen,MarussiaManor Racing,1:37.004,24
26,19,Josh Webster,Status Grand Prix,1:37.030,25
27,22,Carmen Jordá,Bamboo Engineering,1:38.574,26
