Pos.,No.,Driver,Team,Time,Grid
1,1,Conor Daly,ART Grand Prix,1:22.329,1
2,6,Daniil Kvyat,MWArden,1:22.536,2
3,8,Nick Yelloly,Carlin,1:22.597,26
4,2,Facu Regalia,ART Grand Prix,1:22.603,3
5,27,Aaro Vainio,Koiranen GP,1:22.616,4
6,28,Kevin Korjus,Koiranen GP,1:22.621,5
7,14,Tio Ellinas,MarussiaManor Racing,1:22.761,6
8,16,Dino Zamparelli,MarussiaManor Racing,1:22.861,7
9,4,Carlos Sainz Jr.,MWArden,1:22.891,8
10,5,Robert Vișoiu,MWArden,1:22.893,9
11,3,Jack Harvey,ART Grand Prix,1:22.925,10
12,25,David Fumanelli,Trident,1:22.936,11
13,20,Lewis Williamson,Bamboo Engineering,1:22.948,27
14,21,Melville McKee,Bamboo Engineering,1:22.954,12
15,23,Giovanni Venturini,Trident,1:22.993,13
16,11,Patric Niederhauser,Jenzer Motorsport,1:23.000,14
17,12,Alex Fontana,Jenzer Motorsport,1:23.019,15
18,18,Adderly Fong,Status Grand Prix,1:23.054,16
19,26,Patrick Kujala,Koiranen GP,1:23.294,25
20,9,Eric Lichtenstein,Carlin,1:23.364,17
21,25,Emanuele Zonzini,Trident,1:23.524,18
22,19,Josh Webster,Status Grand Prix,1:23.559,19
23,7,Luís Sá Silva,Carlin,1:23.878,20
24,10,Samin Gómez,Jenzer Motorsport,1:24.322,21
25,17,Jimmy Eriksson,Status Grand Prix,1:25.044,22
26,22,Carmen Jordá,Bamboo Engineering,1:25.103,23
27,15,Ryan Cullen,MarussiaManor Racing,1:41.349,24
