Pos.,No.,Driver,Team,Time,Grid
1,4,Carlos Sainz Jr.,MW Arden,2:04.125,1
2,6,Daniil Kvyat,MW Arden,2:04.518,2
3,3,Jack Harvey,ART Grand Prix,2:04.518,3
4,1,Conor Daly,ART Grand Prix,2:04.524,4
5,14,Tio Ellinas,Marussia Manor Racing,2:04.856,5
6,8,Nick Yelloly,Carlin,2:04.972,6
7,28,Kevin Korjus,Koiranen GP,2:05.027,7
8,2,Facu Regalia,ART Grand Prix,2:05.066,8
9,25,David Fumanelli,Trident,2:05.255,9
10,23,Giovanni Venturini,Trident,2:05.308,10
11,9,Alexander Sims,Carlin,2:05.334,11
12,5,Robert Vișoiu,MW Arden,2:05.382,12
13,21,Melville McKee,Bamboo Engineering,2:05.486,13
14,20,Lewis Williamson,Bamboo Engineering,2:05.509,19
15,16,Dino Zamparelli,Marussia Manor Racing,2:05.541,14
16,11,Patric Niederhauser,Jenzer Motorsport,2:05.576,15
17,27,Aaro Vainio,Koiranen GP,2:05.760,16
18,18,Adderly Fong,Status Grand Prix,2:06.127,17
19,26,Patrick Kujala,Koiranen GP,2:06.432,18
20,10,Samin Gómez,Jenzer Motorsport,2:06.537,20
21,19,Josh Webster,Status Grand Prix,2:06.645,21
22,17,Jimmy Eriksson,Status Grand Prix,2:06.871,22
23,7,Luís Sá Silva,Carlin,2:07.291,23
24,25,Emanuele Zonzini,Trident,2:07.582,24
25,15,Ryan Cullen,Marussia Manor Racing,2:08.434,26
26,22,Carmen Jordá,Bamboo Engineering,2:09.095,27
27,12,Alex Fontana,Jenzer Motorsport,No time,27
