Team,No.,Driver name,Rounds
ART Grand Prix,1,Jules Bianchi,All
ART Grand Prix,2,Sam Bird,All
Barwa Addax Team,3,Giedo van der Garde,All
Barwa Addax Team,4,Sergio Pérez,All
Super Nova Racing,5,Josef Král,"1–4, 10"
Super Nova Racing,5,Luca Filippi,5–9
Super Nova Racing,6,Marcus Ericsson,All
Racing Engineering,7,Dani Clos,All
Racing Engineering,8,Christian Vietoris,1–9
Racing Engineering,8,Ho-Pin Tung,10
iSport International,9,Oliver Turvey,All
iSport International,10,Davide Valsecchi,All
DAMS,11,Jérôme d'Ambrosio,"1–5, 7–10"
DAMS,11,Romain Grosjean,6
DAMS,12,Ho-Pin Tung,1–7
DAMS,12,Romain Grosjean,8–10
Rapax,14,Luiz Razia,All
Rapax,15,Pastor Maldonado,All
Arden International,16,Charles Pic,All
Arden International,17,Rodolfo González,All
Ocean Racing Technology,18,Max Chilton,All
Ocean Racing Technology,19,Fabio Leimer,All
Scuderia Coloni,20,Alberto Valerio,1–7
Scuderia Coloni,20,Álvaro Parente,8–9
Scuderia Coloni,20,James Jakes,10
Scuderia Coloni,21,Vladimir Arabadzhiev,1–8
Scuderia Coloni,21,Brendon Hartley,9–10
Trident Racing,24,Johnny Cecotto Jr.,1–8
Trident Racing,24,Edoardo Piscopo,9
Trident Racing,24,Federico Leo,10
Trident Racing,25,Adrian Zaugg,All
DPR,26,Michael Herck,All
DPR,27,Giacomo Ricci,1–7
