Pos.,No.,Driver,Team,Time,Grid
1,4,Callum Ilott,UNI-Virtuosi,1:31.929,1
2,7,Yuki Tsunoda,Carlin,1:31.959,2
3,25,Luca Ghiotto,Hitech Grand Prix,1:32.127,3
4,6,Christian Lundgaard,ART Grand Prix,1:32.200,4
5,22,Roy Nissany,Trident,1:32.226,5
6,24,Nikita Mazepin,Hitech Grand Prix,1:32.267,6
7,20,Mick Schumacher,Prema Racing,1:32.277,7
8,8,Jehan Daruvala,Carlin,1:32.308,8
9,11,Louis Delétraz,Charouz Racing System,1:32.342,9
10,2,Dan Ticktum,DAMS,1:32.373,10
11,1,Jüri Vips,DAMS,1:32.381,11
12,15,Felipe Drugovich,MP Motorsport,1:32.412,12
13,14,Nobuharu Matsushita,MP Motorsport,1:32.420,13
14,23,Marino Sato,Trident,1:32.534,14
15,5,Marcus Armstrong,ART Grand Prix,1:32.592,15
16,21,Robert Shwartzman,Prema Racing,1:32.597,16
17,3,Guanyu Zhou,UNI-Virtuosi,1:32.602,17
18,12,Pedro Piquet,Charouz Racing System,1:32.610,18
19,9,Jack Aitken,Campos Racing,1:32.623,19
20,17,Giuliano Alesi,BWT HWA Racelab,1:32.626,20
21,16,Artem Markelov,BWT HWA Racelab,1:33.311,21
22,10,Guilherme Samaia,Campos Racing,1:33.501,22
