Pos.,No.,Driver,Team,Time,Grid
1,4,Callum Ilott,UNI-Virtuosi,1:41.479,1
2,15,Felipe Drugovich,MP Motorsport,1:41.870,2
3,2,Dan Ticktum,DAMS,1:42.047,3
4,5,Marcus Armstrong,ART Grand Prix,1:42.052,4
5,3,Guanyu Zhou,UNI-Virtuosi,1:42.065,5
6,14,Giuliano Alesi,MP Motorsport,1:42.074,6
7,24,Nikita Mazepin,Hitech Grand Prix,1:42.139,7
8,8,Jehan Daruvala,Carlin,1:42.191,8
9,6,Christian Lundgaard,ART Grand Prix,1:42.259,9
10,20,Mick Schumacher,Prema Racing,1:42.283,10
11,11,Louis Delétraz,Charouz Racing System,1:42.316,11
12,22,Roy Nissany,Trident,1:42.338,12
13,12,Pedro Piquet,Charouz Racing System,1:42.481,13
14,21,Robert Shwartzman,Prema Racing,1:42.654,14
15,9,Jack Aitken,Campos Racing,1:42.848,15
16,17,Théo Pourchaire,BWT HWA Racelab,1:42.967,16
17,23,Marino Sato,Trident,1:43.170,17
18,1,Sean Gelael,DAMS,1:43.191,18
19,10,Guilherme Samaia,Campos Racing,1:43.286,19
20,25,Luca Ghiotto,Hitech Grand Prix,1:43.366,21
21,16,Artem Markelov,BWT HWA Racelab,1:44.019,20
—,7,Yuki Tsunoda,Carlin,1:57.048,22
