Pos.,No.,Driver,Team,Time,Grid
1,7,Yuki Tsunoda,Carlin,1:14.803,1
2,3,Guanyu Zhou,UNI-Virtuosi,1:14.841,2
3,4,Callum Ilott,UNI-Virtuosi,1:14.888,3
4,25,Luca Ghiotto,Hitech Grand Prix,1:14.974,4
5,9,Jack Aitken,Campos Racing,1:14.976,5
6,21,Robert Shwartzman,Prema Racing,1:14.978,6
7,8,Jehan Daruvala,Carlin,1:15.063,7
8,6,Christian Lundgaard,ART Grand Prix,1:15.099,8
9,20,Mick Schumacher,Prema Racing,1:15.141,9
10,15,Felipe Drugovich,MP Motorsport,1:15.189,10
11,23,Marino Sato,Trident,1:15.230,11
12,5,Marcus Armstrong,ART Grand Prix,1:15.265,12
13,22,Roy Nissany,Trident,1:15.274,13
14,14,Nobuharu Matsushita,MP Motorsport,1:15.304,14
15,2,Dan Ticktum,DAMS,1:15.305,15
16,1,Sean Gelael,DAMS,1:15.332,16
17,12,Pedro Piquet,Charouz Racing System,1:15.399,18
18,11,Louis Delétraz,Charouz Racing System,1:15.490,19
19,24,Nikita Mazepin,Hitech Grand Prix,1:15.528,17
20,16,Artem Markelov,BWT HWA Racelab,1:15.681,20
21,17,Giuliano Alesi,BWT HWA Racelab,1:15.721,21
22,10,Guilherme Samaia,Campos Racing,1:16.287,22
