Pos.,No.,Driver,Team,Time,Grid
1,7,Yuki Tsunoda,Carlin,1:02.676,1
2,24,Nikita Mazepin,Hitech Grand Prix,1:02.798,2
3,8,Jehan Daruvala,Carlin,1:02.807,3
4,21,Robert Shwartzman,Prema Racing,1:02.822,4
5,15,Felipe Drugovich,MP Motorsport,1:02.841,5
6,6,Christian Lundgaard,ART Grand Prix,1:02.849,6
7,16,Artem Markelov,BWT HWA Racelab,1:02.947,7
8,2,Dan Ticktum,DAMS,1:02.954,8
9,4,Callum Ilott,UNI-Virtuosi,1:03.014,9
10,11,Louis Delétraz,Charouz Racing System,1:03.062,10
11,3,Guanyu Zhou,UNI-Virtuosi,1:03.075,11
12,23,Marino Sato,Trident,1:03.116,12
13,12,Pedro Piquet,Charouz Racing System,1:03.147,13
14,25,Luca Ghiotto,Hitech Grand Prix,1:03.166,14
15,5,Marcus Armstrong,ART Grand Prix,1:03.169,15
16,14,Giuliano Alesi,MP Motorsport,1:03.194,16
17,17,Théo Pourchaire,BWT HWA Racelab,1:03.228,17
18,20,Mick Schumacher,Prema Racing,1:03.270,18
19,22,Roy Nissany,Trident,1:03.317,19
20,9,Ralph Boschung,Campos Racing,1:03.403,20
21,10,Guilherme Samaia,Campos Racing,1:03.552,21
22,1,Sean Gelael,DAMS,1:03.738,22
