Pos.,No.,Driver,Team,Time,Grid
1,4,Callum Ilott,UNI-Virtuosi Racing,1:28.381,1
2,21,Robert Shwartzman,Prema Racing,1:28.564,2
3,3,Guanyu Zhou,UNI-Virtuosi Racing,1:28.601,3
4,15,Felipe Drugovich,MP Motorsport,1:28.767,4
5,20,Mick Schumacher,Prema Racing,1:28.889,5
6,7,Yuki Tsunoda,Carlin,1:28.903,6
7,9,Jack Aitken,Campos Racing,1:28.979,7
8,2,Dan Ticktum,DAMS,1:28.986,8
9,24,Nikita Mazepin,Hitech Grand Prix,1:29.033,9
10,11,Louis Delétraz,Charouz Racing System,1:29.199,10
11,16,Artem Markelov,BWT HWA Racelab,1:29.297,11
12,8,Jehan Daruvala,Carlin,1:29.308,12
13,1,Sean Gelael,DAMS,1:29.316,13
14,6,Christian Lundgaard,ART Grand Prix,1:29.333,14
15,22,Roy Nissany,Trident,1:29.469,15
16,23,Marino Sato,Trident,1:29.493,16
17,12,Pedro Piquet,Charouz Racing System,1:29.524,17
18,14,Nobuharu Matsushita,MP Motorsport,1:29.641,18
19,5,Marcus Armstrong,ART Grand Prix,1:29.686,19
20,25,Luca Ghiotto,Hitech Grand Prix,1:29.690,20
21,17,Giuliano Alesi,BWT HWA Racelab,1:29.748,21
22,10,Guilherme Samaia,Campos Racing,1:30.093,22
