Pos.,No.,Driver,Team,Time,Grid
1,4,Callum Ilott,UNI-Virtuosi,1:50.767,1
2,25,Luca Ghiotto,Hitech Grand Prix,1:51.075,2
3,3,Guanyu Zhou,UNI-Virtuosi,1:51.290,3
4,2,Dan Ticktum,DAMS,1:51.379,4
5,20,Mick Schumacher,Prema Racing,1:51.584,5
6,6,Christian Lundgaard,ART Grand Prix,1:51.729,6
7,5,Marcus Armstrong,ART Grand Prix,1:51.962,7
8,9,Jack Aitken,Campos Racing,1:52.496,8
9,1,Sean Gelael,DAMS,1:52.500,9
10,17,Giuliano Alesi,BWT HWA Racelab,1:52.567,10
11,21,Robert Shwartzman,Prema Racing,1:52.715,11
12,11,Louis Delétraz,Charouz Racing System,1:52.729,12
13,12,Pedro Piquet,Charouz Racing System,1:52.870,13
14,7,Yuki Tsunoda,Carlin,1:53.215,14
15,8,Jehan Daruvala,Carlin,1:53.288,15
16,24,Nikita Mazepin,Hitech Grand Prix,1:53.462,16
17,16,Artem Markelov,BWT HWA Racelab,1:53.569,17
18,15,Felipe Drugovich,MP Motorsport,1:53.583,18
19,23,Marino Sato,Trident,1:53.658,20
20,22,Roy Nissany,Trident,1:54.736,21
21,14,Nobuharu Matsushita,MP Motorsport,1:55.869,19
NC,10,Guilherme Samaia,Campos Racing,No time,22
