Pos.,No.,Driver,Team,Time,Grid
1,6,Christian Lundgaard,ART Grand Prix,1:30.133,1
2,2,Dan Ticktum,DAMS,1:30.138,2
3,4,Callum Ilott,UNI-Virtuosi,1:30.204,3
4,5,Marcus Armstrong,ART Grand Prix,1:30.317,4
5,15,Felipe Drugovich,MP Motorsport,1:30.339,5
6,8,Jehan Daruvala,Carlin,1:30.437,6
7,1,Jüri Vips,DAMS,1:30.486,7
8,25,Luca Ghiotto,Hitech Grand Prix,1:30.508,8
9,21,Robert Shwartzman,Prema Racing,1:30.527,9
10,9,Jack Aitken,Campos Racing,1:30.533,10
11,7,Yuki Tsunoda,Carlin,1:30.542,11
12,11,Louis Delétraz,Charouz Racing System,1:30.552,12
13,3,Guanyu Zhou,UNI-Virtuosi,1:30.586,13
14,24,Nikita Mazepin,Hitech Grand Prix,1:30.592,14
15,20,Mick Schumacher,Prema Racing,1:30.924,15
16,12,Pedro Piquet,Charouz Racing System,1:30.974,16
17,23,Marino Sato,Trident,1:31.131,17
18,22,Roy Nissany,Trident,1:31.159,18
19,16,Artem Markelov,BWT HWA Racelab,1:31.331,19
20,17,Giuliano Alesi,BWT HWA Racelab,1:31.345,20
21,14,Nobuharu Matsushita,MP Motorsport,1:31.961,21
22,10,Guilherme Samaia,Campos Racing,1:32.359,22
