Pos.,No.,Driver,Team,Time,Grid
1,15,Felipe Drugovich,MP Motorsport,1:39.527,1
2,4,Callum Ilott,UNI-Virtuosi,1:39.666,2
3,20,Mick Schumacher,Prema Racing,1:39.761,3
4,6,Christian Lundgaard,ART Grand Prix,1:39.846,4
5,24,Nikita Mazepin,Hitech Grand Prix,1:39.963,5
6,9,Jack Aitken,Campos Racing,1:40.082,6
7,8,Jehan Daruvala,Carlin,1:40.140,7
8,3,Guanyu Zhou,UNI-Virtuosi,1:40.180,8
9,7,Yuki Tsunoda,Carlin,1:40.216,9
10,11,Louis Delétraz,Charouz Racing System,1:40.324,10
11,14,Nobuharu Matsushita,MP Motorsport,1:40.347,11
12,2,Dan Ticktum,DAMS,1:40.396,12
13,25,Luca Ghiotto,Hitech Grand Prix,1:40.421,13
14,12,Pedro Piquet,Charouz Racing System,1:40.443,14
15,5,Marcus Armstrong,ART Grand Prix,1:40.448,15
16,1,Sean Gelael,DAMS,1:40.476,16
17,23,Marino Sato,Trident,1:40.958,17
18,21,Robert Shwartzman,Prema Racing,1:41.047,18
19,22,Roy Nissany,Trident,1:41.052,19
20,17,Giuliano Alesi,HWA Racelab,1:41.274,20
21,16,Artem Markelov,HWA Racelab,1:41.342,21
22,10,Guilherme Samaia,Campos Racing,1:42.204,22
