Pos.,No.,Driver,Team,Time,Grid
1,3,Guanyu Zhou,UNI-Virtuosi,1:14.416,1
2,15,Felipe Drugovich,MP Motorsport,1:14.880,2
3,4,Callum Ilott,UNI-Virtuosi,1:14.884,3
4,6,Christian Lundgaard,ART Grand Prix,1:14.922,4
5,20,Mick Schumacher,Prema Racing,1:14.952,5
6,8,Jehan Daruvala,Carlin,1:15.028,6
7,25,Luca Ghiotto,Hitech Grand Prix,1:15.044,7
8,21,Robert Shwartzman,Prema Racing,1:15.051,8
9,2,Dan Ticktum,DAMS,1:15.128,9
10,11,Louis Delétraz,Charouz Racing System,1:15.151,10
11,24,Nikita Mazepin,Hitech Grand Prix,1:15.152,11
12,7,Yuki Tsunoda,Carlin,1:15.157,12
13,5,Marcus Armstrong,ART Grand Prix,1:15.208,13
14,9,Jack Aitken,Campos Racing,1:15.264,14
15,12,Pedro Piquet,Charouz Racing System,1:15.376,15
16,22,Roy Nissany,Trident,1:15.457,16
17,1,Sean Gelael,DAMS,1:15.604,17
18,17,Giuliano Alesi,BWT HWA Racelab,1:15.688,18
19,10,Guilherme Samaia,Campos Racing,1:15.703,19
20,16,Artem Markelov,BWT HWA Racelab,1:15.746,20
21,14,Nobuharu Matsushita,MP Motorsport,1:15.897,21
22,23,Marino Sato,Trident,1:16.011,22
