Pos.,No.,Driver,Team,Time,Grid
1,9,James Calado,Lotus GP,1:30.655,1
2,5,Fabio Leimer,Racing Engineering,1:30.865,2
3,16,Stéphane Richelmi,Trident Racing,1:30.902,3
4,26,Max Chilton,Carlin,1:30.962,4
5,12,Giedo van der Garde,Caterham Racing,1:31.006,5
6,15,Fabio Onidi,Scuderia Coloni,1:31.167,6
7,3,Davide Valsecchi,DAMS,1:31.212,7
8,14,Stefano Coletti,Scuderia Coloni,1:31.212,8
9,8,Jolyon Palmer,iSport International,1:31.269,9
10,6,Nathanaël Berthon,Racing Engineering,1:31.308,10
11,10,Esteban Gutiérrez,Lotus GP,1:31.320,11
12,25,Nigel Melker,Ocean Racing Technology,1:31.332,12
13,23,Luiz Razia,Arden International,1:31.377,13
14,7,Marcus Ericsson,iSport International,1:31.391,14
15,1,Johnny Cecotto Jr.,Barwa Addax Team,1:31.565,15
16,2,Josef Král,Barwa Addax Team,1:31.599,16
17,18,Fabrizio Crestani,Venezuela GP Lazarus,1:31.677,17
18,21,Tom Dillmann,Rapax,1:31.682,18
19,22,Simon Trummer,Arden International,1:31.939,19
20,11,Rodolfo González,Caterham Racing,1:31.966,20
21,24,Victor Guerin,Ocean Racing Technology,1:32.270,21
22,4,Felipe Nasr,DAMS,1:32.325,22
23,17,Julián Leal,Trident Racing,1:32.691,23
24,27,Rio Haryanto,Carlin,1:33.010,24
25,20,Ricardo Teixeira,Rapax,1:33.083,25
26,19,Giancarlo Serenelli,Venezuela GP Lazarus,1:33.329,26
