Pos.,No.,Driver,Team,Time,Grid
1,12,Giedo van der Garde,Caterham Racing,1:44.022,1
2,9,James Calado,Lotus GP,1:44.034,2
3,5,Fabio Leimer,Racing Engineering,1:44.944,3
4,25,Nigel Melker,Ocean Racing Technology,1:45.063,4
5,15,Fabio Onidi,Scuderia Coloni,1:45.129,5
6,3,Davide Valsecchi,DAMS,1:45.152,6
7,4,Felipe Nasr,DAMS,1:45.420,7
8,24,Victor Guerin,Ocean Racing Technology,1:45.516,8
9,10,Esteban Gutiérrez,Lotus GP,1:45.613,9
10,23,Luiz Razia,Arden International,1:45.636,10
11,26,Max Chilton,Carlin,1:45.760,11
12,21,Tom Dillmann,Rapax,1:45.763,12
13,18,Sergio Canamasas,Venezuela GP Lazarus,1:45.821,13
14,7,Marcus Ericsson,iSport International,1:45.870,14
15,14,Stefano Coletti,Scuderia Coloni,1:45.907,15
16,6,Nathanaël Berthon,Racing Engineering,1:45.917,16
17,22,Simon Trummer,Arden International,1:45.939,17
18,1,Johnny Cecotto Jr.,Barwa Addax Team,1:46.103,18
19,27,Rio Haryanto,Carlin,1:46.394,19
20,2,Josef Král,Barwa Addax Team,1:46.637,20
21,8,Jolyon Palmer,iSport International,1:46.651,21
22,16,Stéphane Richelmi,Trident Racing,1:46.849,22
23,17,Julián Leal,Trident Racing,1:47.332,23
24,11,Rodolfo González,Caterham Racing,1:49.546,24
25,20,Ricardo Teixeira,Rapax,1:52.356,25
26,19,Giancarlo Serenelli,Venezuela GP Lazarus,No time,26
