Pos.,No.,Driver,Team,Time,Grid
1,26,Max Chilton,Marussia Carlin,1:31.886,1
2,12,Giedo van der Garde,Caterham Racing,1:31.953,2
3,1,Johnny Cecotto Jr.,Barwa Addax Team,1:32.151,8
4,14,Luca Filippi,Scuderia Coloni,1:32.165,3
5,3,Davide Valsecchi,DAMS,1:32.208,4
6,7,Marcus Ericsson,iSport International,1:32.216,5
7,5,Fabio Leimer,Racing Engineering,1:32.324,6
8,15,Fabio Onidi,Scuderia Coloni,1:32.388,7
9,10,Esteban Gutiérrez,Lotus GP,1:32.396,9
10,4,Felipe Nasr,DAMS,1:32.462,10
11,27,Rio Haryanto,Marussia Carlin,1:32.471,11
12,23,Luiz Razia,Arden International,1:32.495,12
13,9,James Calado,Lotus GP,1:32.622,13
14,25,Nigel Melker,Ocean Racing Technology,1:32.625,14
15,8,Jolyon Palmer,iSport International,1:32.659,15
16,21,Stefano Coletti,Rapax,1:32.675,16
17,6,Nathanaël Berthon,Racing Engineering,1:32.769,17
18,18,Sergio Canamasas,Venezuela GP Lazarus,1:32.772,18
19,22,Simon Trummer,Arden International,1:32.889,19
20,24,Victor Guerin,Ocean Racing Technology,1:32.911,20
21,19,René Binder,Venezuela GP Lazarus,1:32.967,21
22,16,Stéphane Richelmi,Trident Racing,1:32.969,22
23,17,Julián Leal,Trident Racing,1:32.989,23
24,2,Jake Rosenzweig,Barwa Addax Team,1:33.109,24
25,11,Rodolfo González,Caterham Racing,1:33.511,25
26,20,Ricardo Teixeira,Rapax,1:33.719,26
