Pos.,No.,Driver,Team,Time,Grid
1,12,Giedo van der Garde,Caterham Racing,1:42.451,1
2,3,Davide Valsecchi,DAMS,1:42.596,2
3,5,Fabio Leimer,Racing Engineering,1:42.619,3
4,26,Max Chilton,Carlin,1:42.628,4
5,27,Rio Haryanto,Carlin,1:42.691,5
6,23,Luiz Razia,Arden International,1:42.839,6
7,11,Rodolfo González,Caterham Racing,1:42.951,7
8,2,Dani Clos,Barwa Addax,1:43.080,8
9,7,Marcus Ericsson,iSport International,1:43.124,9
10,21,Tom Dillmann,Rapax,1:43.163,10
11,4,Felipe Nasr,DAMS,1:43.172,11
12,14,Stefano Coletti,Scuderia Coloni,1:43.206,12
13,10,Esteban Gutiérrez,Lotus GP,1:43.213,13
14,24,Brendon Hartley,Ocean Racing Technology,1:43.219,14
15,18,Fabrizio Crestani,Venezuela GP Lazarus,1:43.311,15
16,6,Nathanaël Berthon,Racing Engineering,1:43.328,16
17,8,Jolyon Palmer,iSport International,1:43.391,17
18,14,Fabio Onidi,Scuderia Coloni,1:43.447,18
19,25,Nigel Melker,Ocean Racing Technology,1:43.453,19
20,1,Johnny Cecotto Jr.,Barwa Addax,1:43.599,20
21,17,Julián Leal,Trident Racing,1:43.659,21
22,9,James Calado,Lotus GP,1:43.757,22
23,22,Simon Trummer,Arden International,1:43.929,23
24,16,Stéphane Richelmi,Trident Racing,1:44.100,24
25,20,Ricardo Teixeira,Rapax,1:44.850,25
26,19,Giancarlo Serenelli,Venezuela GP Lazarus,1:45.036,26
