Pos.,No.,Driver,Team,Time,Grid
1,1,Johnny Cecotto Jr.,Barwa Addax Team,1:21.195,1
2,26,Max Chilton,Carlin,1:21.320,2
3,7,Marcus Ericsson,iSport International,1:21.249,3
4,12,Giedo van der Garde,Caterham Racing,1:21.475,4
5,23,Luiz Razia,Arden International,1:21.858,5
6,8,Jolyon Palmer,iSport International,1:21.530,6
7,3,Davide Valsecchi,DAMS,1:21.912,7
8,2,Josef Král,Barwa Addax Team,1:21.776,8
9,5,Fabio Leimer,Racing Engineering,1:22.053,9
10,10,Esteban Gutiérrez,Lotus GP,1:21.796,10
11,21,Tom Dillmann,Rapax,1:22.288,11
12,14,Stefano Coletti,Scuderia Coloni,1:22.174,12
13,9,James Calado,Lotus GP,1:22.598,13
14,16,Stéphane Richelmi,Trident Racing,1:22.326,14
15,17,Julián Leal,Trident Racing,1:22.762,15
16,6,Nathanaël Berthon,Racing Engineering,1:22.475,16
17,11,Rodolfo González,Caterham Racing,1:22.873,17
18,4,Felipe Nasr,DAMS,1:22.650,18
19,25,Nigel Melker,Ocean Racing Technology,1:22.996,19
20,22,Simon Trummer,Arden International,1:22.997,20
21,15,Fabio Onidi,Scuderia Coloni,1:23.020,21
22,18,Fabrizio Crestani,Venezuela GP Lazarus,1:23.193,22
23,27,Rio Haryanto,Carlin,1:23.539,23
24,24,Víctor Guerin,Ocean Racing Technology,1:23.792,24
25,19,Giancarlo Serenelli,Venezuela GP Lazarus,1:25.907,25
26,20,Ricardo Teixeira,Rapax,1:25.661,26
