Pos,No,Driver,Team,Time,Grid
1,6,Daniil Kvyat,MW Arden,1:55.473,1
2,8,Nick Yelloly,Carlin,1:55.753,2
3,28,Kevin Korjus,Koiranen GP,1:55.785,3
4,9,Alexander Sims,Carlin,1:56.221,4
5,3,Jack Harvey,ART Grand Prix,1:56.265,5
6,4,Carlos Sainz Jr.,MW Arden,1:56.392,6
7,1,Conor Daly,ART Grand Prix,1:56.442,7
8,11,Patric Niederhauser,Jenzer Motorsport,1:56.487,8
9,27,Dean Stoneman,Koiranen GP,1:56.560,9
10,2,Facu Regalia,ART Grand Prix,1:56.722,10
11,23,Giovanni Venturini,Trident Racing,1:56.730,11
12,14,Tio Ellinas,Marussia Manor Racing,1:56.928,12
13,17,Jimmy Eriksson,Status Grand Prix,1:57.057,18
14,5,Robert Vișoiu,MW Arden,1:57.095,13
15,16,Dino Zamparelli,Marussia Manor Racing,1:57.281,14
16,12,Alex Fontana,Jenzer Motorsport,1:57.420,15
17,25,Emanuele Zonzini,Trident Racing,1:57.445,16
18,26,Patrick Kujala,Koiranen GP,1:57.667,17
19,7,Luís Sá Silva,Carlin,1:57.967,19
20,24,Robert Cregan,Trident Racing,1:58.040,20
21,19,Josh Webster,Status Grand Prix,1:58.115,21
22,18,Adderly Fong,Status Grand Prix,1:58.328,22
23,10,Samin Gómez,Jenzer Motorsport,1:58.522,25
24,21,Alice Powell,Bamboo Engineering,1:58.553,26
25,15,Ryan Cullen,Marussia Manor Racing,1:58.804,24
26,22,Carmen Jordá,Bamboo Engineering,1:59.400,23
