Pos.,No.,Driver,Team,Time,Grid
1,28,Kevin Korjus,Koiranen GP,1:46.360,1
2,3,Jack Harvey,ART Grand Prix,1:46.415,2
3,2,Facu Regalia,ART Grand Prix,1:46.581,3
4,12,Alex Fontana,Jenzer Motorsport,1:46.631,4
5,4,Carlos Sainz Jr.,MW Arden,1:46.649,5
6,14,Tio Ellinas,Marussia Manor Racing,1:46.693,6
7,6,Daniil Kvyat,MW Arden,1:46.708,7
8,8,Nick Yelloly,Carlin,1:46.873,8
9,1,Conor Daly,ART Grand Prix,1:46.874,9
10,11,Patric Niederhauser,Jenzer Motorsport,1:47.126,10
11,27,Aaro Vainio,Koiranen GP,1:47.223,11
12,18,Adderly Fong,Status Grand Prix,1:47.296,12
13,23,Giovanni Venturini,Trident,1:47.304,13
14,5,Robert Vișoiu,MW Arden,1:47.376,14
15,26,Patrick Kujala,Koiranen GP,1:47.458,15
16,16,Dino Zamparelli,Marussia Manor Racing,1:47.724,16
17,25,David Fumanelli,Trident,1:47.725,17
18,21,Melville McKee,Bamboo Engineering,1:47.787,18
19,20,Lewis Williamson,Bamboo Engineering,1:47.864,19
20,7,Luís Sá Silva,Carlin,1:47.987,20
21,19,Josh Webster,Status Grand Prix,1:48.061,21
22,9,Eric Lichtenstein,Carlin,1:48.127,22
23,17,Jimmy Eriksson,Status Grand Prix,1:48.394,23
24,25,Emanuele Zonzini,Trident,1:48.691,24
25,10,Samin Gómez,Jenzer Motorsport,1:49.916,25
26,15,Ryan Cullen,Marussia Manor Racing,1:50.561,26
27,22,Carmen Jordá,Bamboo Engineering,1:52.019,27
