Pos.,No.,Driver,Team,Time,Grid
1,6,Daniil Kvyat,MW Arden,1:36.933,1
2,5,Robert Vișoiu,MW Arden,1:37.444,2
3,14,Tio Ellinas,Marussia Manor Racing,1:37.526,3
4,9,Alexander Sims,Carlin,1:37.580,4
5,8,Nick Yelloly,Carlin,1:37.602,5
6,4,Carlos Sainz Jr.,MW Arden,1:37.619,6
7,1,Conor Daly,ART Grand Prix,1:37.708,7
8,2,Facu Regalia,ART Grand Prix,1:37.715,8
9,28,Kevin Korjus,Koiranen GP,1:37.723,9
10,20,Lewis Williamson,Bamboo Engineering,1:37.942,10
11,16,Dino Zamparelli,Marussia Manor Racing,1:37.991,11
12,3,Jack Harvey,ART Grand Prix,1:38.111,12
13,11,Patric Niederhauser,Jenzer Motorsport,1:38.113,13
14,18,Adderly Fong,Status Grand Prix,1:38.141,14
15,26,Patrick Kujala,Koiranen GP,1:38.338,15
16,23,Giovanni Venturini,Trident,1:38.419,16
17,21,Melville McKee,Bamboo Engineering,1:38.450,17
18,7,Luís Sá Silva,Carlin,1:38.495,18
19,12,Alex Fontana,Jenzer Motorsport,1:38.522,19
20,24,David Fumanelli,Trident,1:38.566,20
21,27,Aaro Vainio,Koiranen GP,1:38.606,26
22,17,Jimmy Eriksson,Status Grand Prix,1:38.615,21
23,19,Josh Webster,Status Grand Prix,1:38.660,22
24,25,Emanuele Zonzini,Trident,1:38.934,23
25,15,Ryan Cullen,Marussia Manor Racing,1:39.312,24
26,10,Samin Gómez,Jenzer Motorsport,1:39.474,25
27,22,Carmen Jordá,Bamboo Engineering,1:40.218,27
