Pos.,No.,Driver,Team,Time,Grid
1,27,Aaro Vainio,Koiranen GP,1:32.811,1
2,1,Conor Daly,ART Grand Prix,1:32.987,2
3,6,Daniil Kvyat,MW Arden,1:33.070,3
4,28,Kevin Korjus,Koiranen GP,1:33.104,4
5,3,Jack Harvey,ART Grand Prix,1:33.109,5
6,20,Lewis Williamson,Bamboo Engineering,1:33.200,6
7,21,Melville McKee,Bamboo Engineering,1:33.337,7
8,4,Carlos Sainz Jr.,MW Arden,1:33.345,8
9,2,Facu Regalia,ART Grand Prix,1:33.354,9
10,14,Tio Ellinas,Marussia Manor Racing,1:33.384,10
11,5,Robert Vișoiu,MW Arden,1:33.439,11
12,23,Giovanni Venturini,Trident,1:33.582,12
13,11,Patric Niederhauser,Jenzer Motorsport,1:33.599,13
14,12,Alex Fontana,Jenzer Motorsport,1:33.614,14
15,8,Nick Yelloly,Carlin,1:33.658,15
16,16,Dino Zamparelli,Marussia Manor Racing,1:33.715,16
17,26,Patrick Kujala,Koiranen GP,1:33.778,17
18,9,Eric Lichtenstein,Carlin,1:33.800,18
19,24,David Fumanelli,Trident,1:33.893,19
20,17,Jimmy Eriksson,Status Grand Prix,1:34.089,20
21,19,Josh Webster,Status Grand Prix,1:34.237,26
22,18,Adderly Fong,Status Grand Prix,1:34.241,21
23,7,Luís Sá Silva,Carlin,1:34.952,22
24,25,Emanuele Zonzini,Trident,1:35.006,23
25,10,Samin Gómez,Jenzer Motorsport,1:35.491,24
26,15,Ryan Cullen,Marussia Manor Racing,1:36.046,25
27,22,Carmen Jordá,Bamboo Engineering,1:37.246,27
