Entrant,No.,Driver name,Rounds
Prema Racing,1,Brando Badoer,1–4
Prema Racing,2,Noel León,1–4
Prema Racing,3,Ugo Ugochukwu,1–4
Trident,4,Noah Strømsted,1–4
Trident,5,Rafael Câmara,1–4
Trident,6,Charlie Wurz,1–4
ART Grand Prix,7,Laurens van Hoepen,1–4
ART Grand Prix,8,Tuukka Taponen,1–4
ART Grand Prix,9,James Wharton,1–4
Campos Racing,10,Mari Boya,1–4
Campos Racing,11,Tasanapol Inthraphuvasak,1–4
Campos Racing,12,Nikola Tsolov,1–4
HitechTGR,14,Martinius Stenshorne,1–4
HitechTGR,15,Joshua Dufek,1–4
HitechTGR,Jesse Carrasquedo Jr.,TBC,
HitechTGR,16,Gerrard Xie,1–4
MP Motorsport,17,Tim Tramnitz,1–4
MP Motorsport,18,Bruno del Pino,1–4
MP Motorsport,19,Alessandro Giusti,1–4
Van Amersfoort Racing,20,Théophile Naël,1–4
Van Amersfoort Racing,21,Santiago Ramos,1–4
Van Amersfoort Racing,22,Ivan Domingues,1–4
Rodin Motorsport,23,Callum Voisin,1–4
Rodin Motorsport,24,Louis Sharp,1–4
Rodin Motorsport,25,Roman Bilinski,1–4
AIX Racing,26,Javier Sagrera,1–2
AIX Racing,James Hedley,3–4[a],
AIX Racing,27,Nicola Marinangeli,1–4
AIX Racing,28,Nikita Bedrin[b],1
AIX Racing,Freddie Slater,2,
AIX Racing,Brad Benavides,3–4,
DAMS Lucas Oil,29,Nicola Lacorte,1–4
DAMS Lucas Oil,30,Matías Zagazeta,1–4
DAMS Lucas Oil,31,Christian Ho,1–4
