Entrant,No.,Driver name,Rounds
ART Grand Prix,1,Victor Martins,All
ART Grand Prix,2,Zak O'Sullivan,1–11
ART Grand Prix,2,Luke Browning,12–14
Prema Racing,3,Oliver Bearman,"1–11, 13–14"
Prema Racing,3,Gabriele Minì,12
Prema Racing,4,Andrea Kimi Antonelli,All
Rodin Motorsport,5,Zane Maloney,1–13
Rodin Motorsport,5,Leonardo Fornaroli,14
Rodin Motorsport,6,Ritomo Miyata,All
DAMS Lucas Oil,7,Jak Crawford,All
DAMS Lucas Oil,8,Juan Manuel Correa,1–12
DAMS Lucas Oil,8,Dino Beganovic,13–14
Invicta Racing,9,Kush Maini,All
Invicta Racing,10,Gabriel Bortoleto,All
MP Motorsport,11,Dennis Hauger,1–12
MP Motorsport,11,Richard Verschoor,13–14
MP Motorsport,12,Franco Colapinto,1–10
MP Motorsport,12,Oliver Goethe,11–14
Van Amersfoort Racing,14,Enzo Fittipaldi,1–12
Van Amersfoort Racing,14,John Bennett,13–14
Van Amersfoort Racing,15,Rafael Villagómez,All
Hitech Pulse-Eight,16,Amaury Cordeel,All
Hitech Pulse-Eight,17,Paul Aron,All
Campos Racing,20,Isack Hadjar,All
Campos Racing,21,Pepe Martí,All
Trident,22,Richard Verschoor,1–12
Trident,22,Max Esterson,13–14
Trident,23,Roman Staněk,1–11
Trident,23,Christian Mansell,12–14
PHM AIX Racing(1–3)AIX Racing(4–14),24,Joshua Dürksen,All
PHM AIX Racing(1–3)AIX Racing(4–14),25,Taylor Barnard,1–10
PHM AIX Racing(1–3)AIX Racing(4–14),25,Niels Koolen,11–12
PHM AIX Racing(1–3)AIX Racing(4–14),25,Cian Shields,13–14
