Team,No.,Driver,Rounds
Alfa Romeo RacingOrlen,7,Kimi Räikkönen,All
Alfa Romeo RacingOrlen,99,Antonio Giovinazzi,All
Scuderia AlphaTauri Honda,10,Pierre Gasly,All
Scuderia AlphaTauri Honda,26,Daniil Kvyat,All
Scuderia Ferrari,5,Sebastian Vettel,All
Scuderia Ferrari,16,Charles Leclerc,All
Haas F1 Team,8,Romain Grosjean,1–15
Haas F1 Team,51,Pietro Fittipaldi,16–17
Haas F1 Team,20,Kevin Magnussen,All
McLaren F1 Team,4,Lando Norris,All
McLaren F1 Team,55,Carlos Sainz Jr.,All
Mercedes-AMGPetronasF1 Team,44,Lewis Hamilton,"1–15, 17"
Mercedes-AMGPetronasF1 Team,63,George Russell,16
Mercedes-AMGPetronasF1 Team,77,Valtteri Bottas,All
BWTRacing Point F1 Team,11,Sergio Pérez,"1–4, 6–17"
BWTRacing Point F1 Team,27,Nico Hülkenberg,4–5
BWTRacing Point F1 Team,18,Lance Stroll,All
BWTRacing Point F1 Team,27,Nico Hülkenberg,11
Aston MartinRed Bull Racing,23,Alexander Albon,All
Aston MartinRed Bull Racing,33,Max Verstappen,All
RenaultDP WorldF1 Team,3,Daniel Ricciardo,All
RenaultDP WorldF1 Team,31,Esteban Ocon,All
Williams Racing,6,Nicholas Latifi,All
Williams Racing,63,George Russell,"1–15, 17"
Williams Racing,89,Jack Aitken,16
