Pos.,No.,Driver,Team,Time,Grid
1,5,Rafael Câmara,Trident,1:49.214,1
2,23,Callum Voisin,Rodin Motorsport,1:49.370,2
3,6,Charlie Wurz,Trident,1:49.618,3
4,31,Christian Ho,DAMS Lucas Oil,1:49.618,4
5,18,Bruno del Pino,MP Motorsport,1:49.755,5
6,8,Tuukka Taponen,ART Grand Prix,1:49.762,6
7,4,Noah Strømsted,Trident,1:49.853,7
8,12,Nikola Tsolov,Campos Racing,1:49.898,8
9,19,Alessandro Giusti,MP Motorsport,1:49.905,9
10,28,Freddie Slater,AIX Racing,1:49.928,10
11,14,Martinius Stenshorne,Hitech TGR,1:49.978,11
12,15,Joshua Dufek,Hitech TGR,1:50.057,12
13,17,Tim Tramnitz,MP Motorsport,1:50.082,13
14,2,Noel León,Prema Racing,1:50.119,14
15,26,Javier Sagrera,AIX Racing,1:50.154,15
16,1,Brando Badoer,Prema Racing,1:50.171,16
17,11,Tasanapol Inthraphuvasak,Campos Racing,1:50.217,17
18,24,Louis Sharp,Rodin Motorsport,1:50.223,18
19,25,Roman Bilinski,Rodin Motorsport,1:50.314,19
20,10,Mari Boya,Campos Racing,1:50.380,20
21,3,Ugo Ugochukwu,Prema Racing,1:50.385,26
22,20,Théophile Naël,Van Amersfoort Racing,1:50.390,21
23,22,Ivan Domingues,Van Amersfoort Racing,1:50.396,28
24,9,James Wharton,ART Grand Prix,1:50.425,22
25,29,Nicola Lacorte,DAMS Lucas Oil,1:50.480,23
26,7,Laurens van Hoepen,ART Grand Prix,1:50.560,24
27,16,Gerrard Xie,Hitech TGR,1:50.583,25
28,30,Matías Zagazeta,DAMS Lucas Oil,1:50.624,27
29,27,Nicola Marinangeli,AIX Racing,1:50.769,29
30,21,Santiago Ramos,Van Amersfoort Racing,1:50.793,30
