Pos.,No.,Driver,Team,Time,Grid
1,5,Rafael Câmara,Trident,1:32.510,1
2,10,Mari Boya,Campos Racing,1:32.518,2
3,8,Tuukka Taponen,ART Grand Prix,1:32.652,3
4,16,Gerrard Xie,Hitech TGR,1:32.663,4
5,20,Théophile Naël,Van Amersfoort Racing,1:32.664,5
6,6,Charlie Wurz,Trident,1:32.737,6
7,3,Ugo Ugochukwu,Prema Racing,1:32.738,7
8,1,Brando Badoer,Prema Racing,1:32.763,8
9,19,Alessandro Giusti,MP Motorsport,1:32.815,9
10,9,James Wharton,ART Grand Prix,1:32.839,10
11,26,James Hedley,AIX Racing,1:32.855,11
12,11,Tasanapol Inthraphuvasak,Campos Racing,1:32.894,12
13,2,Noel León,Prema Racing,1:32.901,18
14,4,Noah Strømsted,Trident,1:32.904,13
15,21,Santiago Ramos,Van Amersfoort Racing,1:32.919,14
16,28,Brad Benavides,AIX Racing,1:32.933,15
17,17,Tim Tramnitz,MP Motorsport,1:32.937,16
18,25,Roman Bilinski,Rodin Motorsport,1:32.983,17
19,7,Laurens van Hoepen,ART Grand Prix,1:32.994,19
20,14,Martinius Stenshorne,Hitech TGR,1:33.025,20
21,12,Nikola Tsolov,Campos Racing,1:33.037,21
22,22,Ivan Domingues,Van Amersfoort Racing,1:33.041,22
23,23,Callum Voisin,Rodin Motorsport,1:33.094,26
24,31,Christian Ho,DAMS Lucas Oil,1:33.117,27
25,30,Matías Zagazeta,DAMS Lucas Oil,1:33.161,23
26,29,Nicola Lacorte,DAMS Lucas Oil,1:33.162,24
27,18,Bruno del Pino,MP Motorsport,1:33.295,25
28,24,Louis Sharp,Rodin Motorsport,1:33.535,28
29,15,Nikita Johnson,Hitech TGR,1:33.776,29
30,27,Nicola Marinangeli,AIX Racing,1:33.837,30
